"","SC78_8_factor1","SC78_8_factor2","SC78_8_factor3","SC78_8_factor4","SC78_8_factor5"
"174","Csf2rb","Aff1","Arhgap24","Ifitm3","Sell"
"175","Slc11a1","Brk1","Ndel1","Gpcpd1","Calm1"
"176","Nlrp3","Rock1","Arpc3","Trem3","R3hdm4"
"177","Sp100","Zfp638","Rbm39","Etf1","Myh9"
"178","Arpc2","Cox7a2","Ddx3x","Arih2","mt-Co2"
"179","Coq10b","Kmt2c","Rsrc2","Jdp2","Clec4e"
"180","Selk","Serf2","Anxa1","Pla2g7","Hck"
"181","Pbx1","Abi1","Usp32","Fndc3b","Rnf149"
"182","Marcks","Rabac1","Cxcr4","Skap2","Lilr4b"
"183","Ppp1r3b","Eif5a","Gmfg","Adgre5","Uba52"
"184","Ddx3x","B2m","Ipcef1","Steap4","Rps16"
"185","Mirt1","Nufip2","Cers6","Lpcat2","Osm"
"186","Pfn1","Eif5","Gda","Basp1","Rap1b"
"187","Zcchc6","Eml4","Cdc42","Mir142hg","Lrrfip1"
"188","Snx18","Ssu72","Fcgr3","Taldo1","Rab8b"
"189","Sepn1","Ier2","Antxr2","Sat1","Kdm7a"
"190","Wnk1","Tgfb1","Lamp2","Rab11fip1","Timp2"
"191","Nfkbiz","Arpc2","Tra2a","Trib1","Gnb2"
"192","Anxa11","Xist","Cdk2ap2","Btbd9","Nfkbiz"
"193","Rap1b","Itch","Bcl6","Plaur","Glipr2"
"194","Nfe2l2","Ptbp3","Dock2","Vasp","Asprv1"
"195","Dhrs9","Usp34","Isg15","Hmgb2","Diaph1"
"196","Nudt4","Tnrc6c","Ddit3","Gm5150","Rhoa"
"197","Cdkn1a","Atf7ip","Rab7","Gpbp1","Svil"
"198","Fam107b","Gdi2","Slfn4","S100a6","Snap23"
"199","Sh2d3c","Bre","2810474O19Rik","Cfl1","Rpl9"
"200","Adam8","Ltb","Fgr","Osbpl9","Pilra"
"201","B2m","Huwe1","Rps27","Pbx1","Gadd45a"
"202","Srsf5","Ube2s","Gnai2","Tra2a","Ier5"
"203","Dock2","Camk1d","Ccnl1","Coro1a","Rps29"
"204","Gm5150","Stag1","H2-K1","Tgoln1","Tarm1"
"205","Aff4","Prkch","Trim30a","Relb","1110008F13Rik"
"206","Sat1","Cyba","Itm2b","Rps16","Hpcal1"
"207","Ago2","Elmsan1","Arhgap15","Rab20","Ier3"
"208","Dopey2","Atrx","Trps1","Arpc2","Snx18"
"209","Pla2g7","Rap1a","Nup98","Bcl2a1b","Gm42418"
"210","Notch2","Ppm1h","Ubc","Tiparp","Slfn2"
"211","Itpkb","Rtn3","Mapkapk2","Gab2","Sorl1"
"212","Dgat1","Dock11","Arih1","Prdx5","Fos"
"213","Zeb2","Utrn","Whsc1l1","Adam17","Tgfbi"
"214","Ptafr","Npc2","Ncf4","Gcnt2","Chil1"
"215","Cd52","Wac","Cdkn2d","Suco","Trem3"
"216","Arhgap26","Ikzf1","Pnrc1","Oser1","Dstn"
"217","Gpr35","Faf1","Msn","Myl6","mt-Atp6"
"218","Cdk2ap2","Hnrnpa3","Pglyrp1","Cd274","Mbd2"
"219","Fgl2","Prkcb","Atrnl1","Ctsb","Fcgr3"
"220","Tnfrsf1b","Sh3kbp1","Klf3","Myl12b","Por"
"221","Alox5ap","Birc6","Apbb1ip","Gsap","Alcam"
"222","Diaph1","Tnrc6b","Ier2","mt-Atp6","Rps10"
"223","Hmgb2","Atp5e","Rps16","Cd53","Cnn2"
"224","Gpcpd1","Ago2","Ctnnb1","Msn","Sri"
"225","Mapkapk2","Ywhae","Mctp1","Atp6v1g1","Arpc4"
"226","Kctd12","Arid4b","Gls","Igf1r","Samhd1"
"227","Klhl2","Ppp1r12a","Adipor1","mt-Co3","Sh3glb1"
"228","Cdk17","Pik3c2a","Slc16a3","Zc3hav1","Slfn4"
"229","Syk","Arid5b","Braf","Syk","Baz2b"
"230","Ptbp3","Ranbp2","Nfe2l2","Map1lc3b","C5ar1"
"231","Top1","Plbd1","Ptgs2","Anxa1","Cd300lf"
"232","Plin2","Rpl27","Rapgef6","Fos","Selplg"
"233","Rab8b","Map4k4","Pik3ap1","Lilr4b","Cdkn2d"
"234","Cap1","Mtdh","Myl6","Mrpl33","Ppp1r3b"
"235","Irak2","Ost4","Abtb2","Il1rap","Xylt1"
"236","Trem3","Tmem59","Sfxn5","Ubc","Upp1"
"237","Tax1bp1","Myo1f","Ppp1r2","App","Tmbim6"
"238","Gda","Myh9","Camk1d","Tax1bp1","Dhrs7"
"239","Fnip1","Gm10073","Rps29","Cyba","Klra2"
"240","Taldo1","Zfand3","Sell","Cdc42","Gpi1"
"241","Fos","Ascc3","Cd9","Rps27a","Capza1"
"242","Chmp4b","Ankhd1","Cd53","Ctsz","Lbr"
"243","Fndc3b","Gna13","Fam32a","Snx18","Cd33"
"244","Cdc42","Rapgef6","Inpp5d","Rbpj","4932438A13Rik"
"245","Pag1","Sppl3","Pde4b","Wnk1","Ralgapa1"
"246","Stat3","Plac8","Themis2","Mrgpra2b","Cox8a"
"247","Ubc","Dlg1","Atp8a1","Gnai2","Slc2a1"
"248","Gtdc1","Atp6v0e","Nfkbiz","Alcam","Il1rap"
"249","Tra2a","Kansl1","Prkcb","Spi1","Cst3"
"250","Chd7","Itm2b","Myl12b","Gng5","Cd53"
"251","Sell","Smg1","Dclre1c","Sntb2","Fis1"
"252","Homer1","Rsrp1","Dusp16","Cxcr4","Rhog"
"253","Atp6v0d1","Kmt2e","Rsrp1","Trps1","Rbms1"
"254","Pafah1b1","Ftl1","Rpl18a","Sdcbp","Mir142hg"
"255","Bcl2l1","Csnk1a1","Samhd1","Csrnp1","Pla2g7"
"256","Rbms1","Rhoa","Clic1","Traf3","AB124611"
"257","Arpc5","Jmjd1c","Fyb","March7","Selk"
"258","Slc2a1","Dnaja1","Actr3","Rbm39","H2afj"
"259","Trps1","Uqcrh","Fbxl5","Lyst","Gcnt2"
"260","Rps27","Zeb1","Klhl2","Bcl2l11","Hacd4"
"261","Arhgap15","Gsk3b","Ptp4a1","Vps37b","Capzb"
"262","Ifrd1","Ube2d3","Gng5","Tspan13","Neat1"
"263","Slc25a3","Atp5l","1700112E06Rik","Nr4a3","Ptprj"
"264","Klra2","Ybx1","Oser1","Hck","Dhrs9"
"265","Cd84","Mbtd1","Clk1","Neurl3","Smox"
"266","Rbm39","Lims1","Ptpn12","Serf2","Adipor1"
"267","Nup98","Cd63","Wipf1","Igsf6","Sdcbp"
"268","Ier5","Smarca5","Hdac4","Srsf5","Stfa2"
"269","Ddit3","Tbc1d5","C5ar1","Icam1","Plek"
"270","Emd","Klf6","Arpc2","Csf1","Ubl5"
"271","Tspan13","Nfat5","Tgfbi","Calm2","Rhov"
"272","Ctsb","Rsrc2","Ncor1","Baz2b","Ldha"
"273","mt-Co1","Cyth1","Ypel3","Stk17b","Il1f9"
"274","Cltc","Cox6b1","Sntb2","Gtdc1","H2afz"
"275","Myl6","Papola","Kras","Dock2","Arf5"
"276","Il15","Laptm5","Fnip1","Snx20","Sfxn5"
"277","Cytip","Ptk2b","Rabgef1","Nab1","Lamp2"
"278","Tnrc18","Bclaf1","Ptpn1","Zfand3","Fam49b"
"279","Ptp4a1","Ubac2","Ube2d3","Cd300lf","Fgr"
"280","Atrnl1","Ncoa3","Rpl17","Tspo","H2-K1"
"281","Themis2","Rps19","Hspa5","mt-Co2","Zfp36"
"282","Slc22a15","Atp5a1","Mrpl33","N4bp1","Hcst"
"283","Coro1a","Gadd45g","Egr1","Socs3","Ube2b"
"284","Csrnp1","Rpl7a","Nfil3","Gpr132","Skap2"
"285","Klf3","Rock2","Ube2b","Mirt1","Ier2"
"286","AW011738","Msn","Ankrd12","Anxa2","Chmp4b"
"287","Ptk2b","Oaz1","Pip5k1b","Arhgap26","Atp11b"
"288","Bcl2l11","1700112E06Rik","Arhgdib","Optn","Itgb2"
"289","Tspo","Klf13","Il13ra1","Rpl18a","A530064D06Rik"
"290","Adgre5","Cdk12","Hsp90aa1","Fas","Lst1"
"291","4932438A13Rik","Hist1h2bc","Rpl37","Nadk","Psap"
"292","Lsp1","Slc38a1","Gla","Cdc42ep2","Pag1"
"293","Atp6v1g1","Brd2","Kctd12","Cd300a","Dnaja1"
"294","Zyx","Jak1","Smox","Txnrd1","Slc7a11"
"295","Ube2d3","Fam134b","Clec4e","Mbnl2","Pxn"
"296","Chd2","Wasf2","Ptpre","Selplg","Tmcc1"
"297","Fbxo11","Pabpc1","Nfkbia","Sf3b1","Pnrc1"
"298","Gk","Zfp36l1","Ifi27l2a","Arf4","Hmgn2"
"299","Gmfg","Atp9b","Slc7a11","Itm2b","Ly6g"
"300","Zfp36","Cdk13","Cited2","Jak1","Scand1"
