"","SC78_5_factor1","SC78_5_factor2","SC78_5_factor3","SC78_5_factor4"
"239","Dock2","Cd300lf","Dmxl2","Mbnl2"
"240","Arhgap26","Cmip","Ifitm3","Relb"
"241","Mirt1","Ppp1ca","Rab7","Gnb1"
"242","Ptbp3","Ncf2","Ptpn12","Rbm39"
"243","Myl6","AB124611","Mmp9","Stat3"
"244","Atp6v1g1","Samhd1","Pkm","Fas"
"245","Zfp36","Ywhaz","Rps16","Ctsd"
"246","Chmp4b","Tpm3","mt-Co3","Rpl23"
"247","Nlrp3","Rpl13a","Cd33","Calm2"
"248","Slc11a1","Rpl17","Lilr4b","H2-Q4"
"249","Rps27","Rps21","Rabgef1","Actr3"
"250","Adipor1","Nadk","Ier2","Rplp1"
"251","Syk","Diaph1","Mctp1","Parp14"
"252","Irak2","Fgr","Ubc","Gbp2"
"253","Wfdc21","Il1f9","Herc4","Egr1"
"254","Bcl2l1","Hdc","Arpc1b","Rpl9"
"255","Gapdh","Ccnd3","Prkcb","Rnf19b"
"256","Rps27a","Bst1","Themis2","Zc3h12a"
"257","Gmfg","Ifitm1","Rps29","Trim30a"
"258","Cdk17","Upp1","2810474O19Rik","Jak1"
"259","Gm5150","Selplg","Kras","Iqgap1"
"260","Pkm","Slfn4","Atf3","Polr2a"
"261","Cltc","Litaf","Elmo1","Themis2"
"262","Atp6v0d1","Azin1","Myl6","Sntb2"
"263","Srsf5","Ehd1","Cxcl2","Tiparp"
"264","Oasl1","Arg2","Dazap2","Rpl38"
"265","Mcemp1","Cd44","Prr5l","Dusp5"
"266","Ifrd1","Rpl23","Hsp90aa1","Rab20"
"267","Tax1bp1","A530064D06Rik","Fosl2","Laptm5"
"268","Ubc","Hipk1","C5ar1","Stat1"
"269","Tspan13","Hmgn2","Cst3","Igf1r"
"270","Msra","Ier2","Ccl6","Gng5"
"271","Fndc3b","4932438A13Rik","Amica1","Lamp2"
"272","Gm5483","Clec4e","Rlf","Rtp4"
"273","Ube2b","Esd","Ube2b","Lsp1"
"274","Clk1","Tln1","Gadd45b","Snx10"
"275","Arpc1b","Fcgr3","Sik3","Itm2b"
"276","Themis2","Pag1","Hif1a","Bcl2a1b"
"277","Mrgpra2b","Elmo1","Itm2b","Coq10b"
"278","Osm","Cst3","mt-Co2","Rps10"
"279","Usp32","Sgms2","Ctnnb1","Lpcat2"
"280","Wnk1","Limd2","Prr13","Nab1"
"281","Coq10b","Atp8b4","Apbb1ip","Chd2"
"282","Mapkapk2","Scand1","Trim30a","Sf3b1"
"283","Klra2","Arf5","Gapdh","Gmfg"
"284","Stat3","Lilr4b","Pnrc1","Fbxo11"
"285","Cd84","Tmbim6","Txnip","Rhoa"
"286","Ptp4a1","Lims1","Emb","Rps3"
"287","Pafah1b1","C5ar1","Stfa2l1","Arpc1b"
"288","Klhl2","mt-Nd5","Rgs2","Txnrd1"
"289","Fmnl1","Rap1gap2","Dusp16","Gm2a"
"290","Cfl1","Mtus1","Calm2","Steap4"
"291","Slc2a1","Ndel1","Kctd12","Rab11fip1"
"292","Stfa2l1","Prkcb","Jak1","Rac2"
"293","Msn","Trem1","Raf1","Calm1"
"294","Trps1","H2afz","Klf3","Wfdc17"
"295","Top1","Mir142hg","Pik3ap1","Vps37b"
"296","Dazap2","Slc2a3","Ube2d3","Asprv1"
"297","Gtdc1","Rpl24","Pip5k1b","Tgif1"
"298","Egr1","Fam107b","Tsc22d3","Ptk2b"
"299","Whsc1l1","mt-Nd1","Ypel3","Ell2"
"300","Kras","Fmnl1","Hdac4","Efhd2"
