"","V1","V2","V3","V4"
"Kansl3",1.46003351417314,1.79319742116832,0.246656031220413,1.10221170096884
"Lman2l",0.787379757148897,0.218795603258837,1.24683970994562,0.141623835855391
"Cnnm4",0.932966364820552,1.65281338916397,0.335373456151683,0.690661039083894
"Cox5b",7.65856817184757,5.26711684671965,10.1711498320743,4.0363628363069
"Actr1b",1.46944248721715,0.0868176922269751,0.823441144850421,0.0796331278209555
"Tmem131",3.61216348481279,0.683857799786721,5.62326395207717,1.84131283975671
"Cnga3",2.22044604925031e-16,0.033723221610447,1.36921220970858,0.645242852386571
"Inpp4a",4.01240871372686,5.5182610623767,7.49194161263703,3.75774201599261
"Coa5",1.60369103856952,1.92479788431769e-12,1.342650224946,0.984580266484422
"Unc50",2.72714377290032,2.17223819877033,1.95387208973795,0.946185910572519
"Mgat4a",2.997341944836,6.52711156579786,0.900731638206454,2.20042098623907
"Tsga10",0.686607665553631,8.58449987690318e-11,0.223521433690623,0.426384326083554
"Mitd1",0.618248184991279,2.22044604925031e-16,0.636892454526767,1.91208955703434
"Mrpl30",1.94245639756917,0.138488711394215,2.85302400556589,2.03357979347598
"Txndc9",1.50008744960952,1.35822920055589,3.47069790392385,1.22539357646339
"Eif5b",1.62681105038736,0.109518977147968,0.868949162548449,1.46889666063578
"Rev1",0.50960354472954,0.0532114047374537,0.0178376537274303,0.933848835018302
"Pdcl3",1.91390030713127,1.81149715867063,5.60634696979698,1.63245917624812
"Rpl31",2.82459080390911,2.22044604925031e-16,4.80753909736804,0.398238149941042
"Tbc1d8",0.40071146245029,1.6095589101097,5.8313623618864,1.0338674795212
"Cnot11",1.73054243758138,0.759041042532269,0.620599114090685,0.120989775424767
"Rnf149",40.7827689574773,53.7069533394802,17.5555052214179,22.8983357401009
"Map4k4",1.06775170939591,3.47451911905183,6.07050566199228,7.81402910363124
"Il1r2",43.0247752639207,56.520183089137,21.2279880113128,31.3451712774993
"Gm16894",1.53666246993803,0.561590685512717,2.22044604925031e-16,0.668629575868187
"Il18r1",0.235339127535871,2.22044604925031e-16,1.01483784129206,0.385838759234329
"Il18rap",11.6296147215364,16.3572014892627,5.07955152575345,6.23858694903598
"Uxs1",0.784785205830174,0.0342278735878549,0.427315178493984,2.22044604925031e-16
"Tpp2",3.85343220469872,2.22044604925031e-16,1.99251303803272,1.86676190398397
"Tex30",0.980329443168764,2.22044604925031e-16,0.080434294479359,0.60105627011261
"Slc40a1",13.1435568639875,4.22481870329641,8.6458305445695,3.1451117068017
"Gm28321",2.22044604925031e-16,0.263398326402181,0.498702604844278,0.0846603768936483
"Nabp1",4.11527385859501,15.2109331903822,9.73793932242214,8.53032556586557
"Stat4",1.25673745681872,2.01993768758241,2.22044604925031e-16,0.221978306583269
"Stat1",4.70447899375376,0.753109571920999,3.22403320172119,12.6518062519771
"Gls",17.3730324094657,6.54084039607922,3.09937446942661,15.0729020693913
"Nab1",4.60470034198431,21.0738740196245,3.46878303861973,9.49394317016529
"Tmem194b",1.28527081507238,0.897053454041468,0.00850717723806947,6.67660849838693e-16
"Mfsd6",7.55273936141533,3.72988426492425,3.09385494342711,1.33758576355653
"Inpp1",0.482875329872797,1.74747573107146,3.21701429338479,1.31207948005973
"Hibch",0.632924702869052,2.22044604925031e-16,1.34188457548178,2.22044604925031e-16
"Ormdl1",0.661145991363604,0.031575670304625,1.64187332315736,0.984748608565677
"Asnsd1",1.42338437178862,0.400416429311795,15.3885385989016,2.22044604925031e-16
"Stk17b",35.764561254895,28.9554733055704,23.2198325597561,2.22044604925031e-16
"Ankrd44",15.5048022891741,9.71361983744691,5.33247936646393,4.14194133827822
"4930444A19Rik",0.940524981752732,1.1492976543964,0.0399063894834148,2.22044604925031e-16
"Sf3b1",18.511557841945,24.2996423467468,9.80707267635997,14.703849553543
"Coq10b",25.4528948009863,26.2310504840642,4.68215401880969,1.50709821206139
"Mob4",7.56664204146819,11.459445538677,5.64689524182752,4.34271708390356
"Kctd18",0.60015787391038,0.331840593677665,0.108322698133221,0.0800016411061628
"Bzw1",6.15471882384552,5.15320822037911,4.36828486442651,3.48744031780902
