"","SC78_6_factor1","SC78_6_factor2","SC78_6_factor3","SC78_6_factor4"
"210","Rhoa","Gnai2","Sh3glb1","Sema4d"
"211","Fcgr3","Pde7b","Actn1","Eif5"
"212","Cd300lf","Hmgb2","Rab8b","Rsrp1"
"213","Dock2","Gmfg","Lbr","Wsb1"
"214","Rps14","Slc11a1","Itgam","Egln3"
"215","Clic1","Trem3","Fxyd5","1700112E06Rik"
"216","Laptm5","Stk17b","Stk17b","Tgoln1"
"217","Kdm6b","Braf","Ptpn1","mt-Co3"
"218","Gng5","Marcks","Fam49b","Cd44"
"219","Nfe2l2","Gm5483","Rps3","Cmip"
"220","Pfdn5","Srsf5","Eif4ebp1","Antxr2"
"221","Lamp2","Lrrfip1","Jund","Tax1bp1"
"222","Srsf5","Myh9","Myh9","Tgm2"
"223","Dazap2","Trps1","Lmnb1","Kdm6b"
"224","Cxcl2","Slc15a3","Rpl37a","Arpc2"
"225","Cotl1","Rbms1","Rpl19","App"
"226","Nfkbiz","B2m","Rpl37","Ptbp3"
"227","Suco","Selplg","Slpi","Hmox1"
"228","Msn","Tax1bp1","Capzb","Ncf1"
"229","Inpp5d","Bcl2l11","Cd24a","Fndc3b"
"230","Rpl39","Anxa11","Gyg","Gbp2"
"231","Samsn1","Sepn1","Qsox1","Sod2"
"232","Polr2a","Ptbp3","Adam8","Cers6"
"233","Cox8a","Ptafr","Mtus1","Chst11"
"234","Ypel3","Cotl1","Nedd9","Srsf5"
"235","Anxa1","Ralgapa1","Svil","Ptprc"
"236","Ipcef1","Ier5","Fis1","Ube2d3"
"237","Nup98","Lst1","Arg2","Gsap"
"238","Emb","Calm1","mt-Nd4","Pfn1"
"239","Zfp36l1","Dusp5","Tmbim6","Cd24a"
"240","Ube2d3","Mapkapk2","Osbpl9","Fus"
"241","AF251705","Pbx1","Cd47","Slc3a2"
"242","Fam134b","Rbm39","Fpr1","Csrnp1"
"243","Hcar2","Arih2","Ccr1","Btbd9"
"244","Pik3ap1","Zfand3","Cd300lf","Ncf4"
"245","Bcl6","Pxn","Plac8","Lyst"
"246","Gadd45a","Fbxl5","Ier2","Rabgef1"
"247","Serinc3","Fgr","Map1lc3b","Stat3"
"248","Fam65b","Anxa1","Rpsa","H2-T23"
"249","Usp32","Nfkbiz","Ppp1ca","C5ar1"
"250","Rpl30","Samhd1","Dhrs7","Tgif1"
"251","Arhgap15","Ell2","Itgb2","Dusp5"
"252","Ankrd33b","Basp1","Btg1","Bcl2l1"
"253","Gm20388","Itpkb","Ltb4r1","Atp6v1a"
"254","Clec4d","2810474O19Rik","Il1r2","Nampt"
"255","Rpl23","Sub1","Pim1","Hk2"
"256","Atp2b1","Sell","Rpl28","Ddit3"
"257","Gpx1","Hpcal1","Mapk13","Bhlhe40"
"258","Tgfbi","Atp6v1g1","Clec4e","Tmem189"
"259","Ifngr1","Ostf1","Hacd4","Nfil3"
"260","Ube2b","Vps4b","Mctp1","Ankrd12"
"261","Ddit3","Coq10b","Actr2","Calm1"
"262","Rpl37","Vasp","Plp2","Lpp"
"263","Atp6v0e","Rsrp1","C5ar1","Gls"
"264","Pip5k1b","Steap4","Pilra","March7"
"265","Il1rap","Arhgap15","Pten","Ehd1"
"266","Rab8b","Nlrp3","Flot1","Parp14"
"267","Hsp90aa1","H2-K1","Rpl34","Rpl10"
"268","Adipor1","Myl12b","Cmah","Selk"
"269","Egr1","Gab2","Ddx6","Nktr"
"270","Oser1","Ctsb","AA467197","Bri3"
"271","Phf21a","Dock2","Rac1","Jak1"
"272","Dusp16","Mmp9","Arf5","Fnip2"
"273","Anxa2","Top1","Zfp36","Rtp4"
"274","Map3k5","Ddx3x","Tmcc1","Atp6v0d1"
"275","Ccnd3","Hck","Pgk1","Socs3"
"276","Igf1r","Gk","Gclm","Pgk1"
"277","Nfil3","Rhoa","Il1f9","Trem1"
"278","Abtb2","Ube2b","Btg2","Sf3b1"
"279","Rps3a1","Asprv1","Cd33","Ascc3"
"280","Supt4a","Csf2rb","Scand1","Syk"
"281","Slc16a3","Itm2b","Rps13","Lyn"
"282","Hspa8","Tgoln1","Rpl23","Chd2"
"283","Ppp1r15a","Capzb","Rps7","Il15"
"284","Cd53","Tnfrsf1b","Ndel1","Arih1"
"285","Osm","Cytip","Klf2","Tapbp"
"286","Sh3bgrl3","Inpp5d","Cox4i1","Wwp2"
"287","Antxr2","Chmp4b","Rps3a1","Maff"
"288","Gnb2","Tmbim6","Gsr","Lst1"
"289","Pag1","Rps27","Igf1r","Cited2"
"290","Cap1","Pglyrp1","Sdcbp","Ap3s1"
"291","Sh3glb1","Itgb2","Sorl1","Arih2"
"292","Braf","Arhgap26","Rps14","Diaph1"
"293","Rabgef1","Qsox1","Lilr4b","Sp140"
"294","Ctnnb1","Lcn2","Hpcal1","Clec4n"
"295","Jun","Dgat1","Rpl18a","Msra"
"296","Fyb","Sf3b1","Chmp4b","Bnip3l"
"297","Oaz1","Cdkn1a","Cd53","Slfn1"
"298","Sub1","Pafah1b1","Pabpc1","Soat1"
"299","Hist1h2bc","Slfn4","Rpl17","Gnb1"
"300","Pglyrp1","Ccl6","Atg3","Jund"
