"","SC78_2_factor1","SC78_2_factor2","SC78_2_factor3","SC78_2_factor4","SC78_2_factor5","SC78_2_factor6","SC78_2_factor7","SC78_2_factor8"
"139","Lyn","Ankhd1","Picalm","Coro1a","Samhd1","Mcl1","Slc15a3","Hcar2"
"140","Lsp1","Sh3glb1","Entpd1","Cmip","Vasp","Itgal","Vps37b","Cd300a"
"141","B2m","Zcchc7","Sorl1","Tgoln1","Lilrb4a","Il1rn","Map3k5","Fam134b"
"142","Alcam","Pabpc1","Gpr132","Cst3","Ubb","Wnk1","Fndc3b","Atf3"
"143","Erbb2ip","Rpl26","Adam17","Igf1r","Osbpl9","Tes","Cd300lf","Eif1"
"144","Tpm4","Clint1","Pdlim5","Atf3","Tpd52","Dusp5","Fxyd5","Myo1f"
"145","Sorl1","Pxn","Cmip","Hcar2","R3hdm4","Sdcbp","Adam8","Cdc42"
"146","Arpc3","Ubr5","Fgl2","Mrpl33","Osm","Ccnl1","Mir142hg","Ccnd3"
"147","Rac2","Acsl1","Ier5","Isg15","4932438A13Rik","Arih2","Abtb2","Retnlg"
"148","Hspa5","Map4k4","Gm42418","Snap23","Arg2","Cd300lf","Kdm6b","Zfand5"
"149","Cmip","Rapgef6","Lyn","Mbnl2","Pim1","Cd80","Atp6v0d1","Cd33"
"150","Ddx3x","Dock8","Rps9","Ddit3","Lst1","Dusp16","Mbnl2","Pla2g7"
"151","Arpc2","Myl6","Traf3","Gm42418","Ctsd","Fmnl1","Myo1d","Cyba"
"152","Gcnt2","1700112E06Rik","Trem1","Ppp1r15a","Tpm4","Itpkb","Sdcbp","Spi1"
"153","Pbx1","Gpx1","Ifitm1","Btbd9","Entpd1","Basp1","Nup98","Suco"
"154","Abtb2","Trip12","Rap1b","Arpc3","Csf3r","Rps9","Camk1d","Chst11"
"155","Fbxl5","Vps13b","Ddx3x","Serinc3","Aldoa","Cyp4f18","Cdk17","Clec4d"
"156","Ctnnb1","Tra2a","Fxyd5","Pla2g7","Clic1","Cltc","H2-D1","Cd300lf"
"157","Rabgef1","Bcl2l11","Tgif1","Tgm2","C5ar1","Myh9","Ddx5","Alcam"
"158","Dusp2","Pum2","Pfn1","Selk","Sh3bgrl3","Kdm6b","Gda","Sat1"
"159","H2-K1","Tgfb1","Tgm2","Atp6v0d1","Ets2","Sp140","Pbx1","Cap1"
"160","Cyp4f18","Gpbp1","Alcam","Osbpl9","Emilin2","Kpna4","Irak2","Mctp1"
"161","Lilr4b","Arpc2","Emilin2","Ctsb","BC100530","Taldo1","Gfod1","Fbxl5"
"162","Gmfg","Ube2d2a","Cst3","Fnip1","Sdcbp","Laptm5","Arhgap26","Etf1"
"163","Glrx","Ltf","Msn","Sp140","Cnn2","Cfl1","Rbms1","Rap1b"
"164","Adgre5","Gsk3b","Slc15a3","Il1rn","Cers6","Ctsd","Pag1","Xpr1"
"165","Slc15a3","Akap13","Rps27","Zyx","Btg2","B2m","Tpm4","Rac2"
"166","Gm5483","Pan3","Etv6","Tnfrsf1b","Spag9","Rab20","Fbxo11","Atg3"
"167","Alox5ap","Pfn1","Baz1a","Ptafr","Rhoa","Klra2","Pde4b","Klhl2"
"168","Pnrc1","Ankrd11","Ccnl1","Anxa11","Dhrs9","Myl6","Fam65b","Ankrd44"
"169","Tlr2","Srgn","Dock2","Rps29","Ncf4","Pbx1","Vps4b","Ltb"
"170","Rab11fip1","Hnrnpa2b1","Fau","Cyba","Jund","Gm42418","Stk17b","Zyx"
"171","Ninj1","Elmo1","Trem3","Map1lc3b","Ndel1","Eif4a1","Wnk1","Rsrc2"
"172","Mrpl33","Dock2","Dennd1b","Fem1c","Sat1","Slc11a1","mt-Atp6","Ube2h"
"173","Hck","Txnip","Pbx1","Ifitm1","Ier5","Rap1b","Optn","Grina"
"174","Btbd9","Cnbp","Nfkbid","Cap1","Anxa11","Dock2","Fosl2","Fgd4"
"175","Snx20","Actb","Tpt1","S100a6","Calm1","Chd7","Iqgap1","Pten"
"176","Bcl2a1b","H2-K1","Mir142hg","Ubc","Notch2","Etf1","Dopey2","Alox5ap"
"177","Arhgap15","Ago2","Batf","Tra2a","Gpx1","Irg1","Sema4d","Trem1"
"178","Cyba","Arhgap15","Jak2","Rps27a","1110008F13Rik","Notch2","Sntb2","Lilrb4a"
"179","Ncf1","Prkcb","Bcl2a1d","Gcnt2","Xylt1","Csf2rb","Chd2","Fgl2"
"180","Nfe2l2","Scp2","Gpcpd1","Rap1b","Rps27","Arg2","Skap2","Raf1"
"181","Ifitm1","Cd63","S100a6","Nlrp3","Pnrc1","Sepn1","Jdp2","Osm"
"182","Rab20","Kmt2e","Rac2","Gadd45b","Por","Ralgapa1","Slc11a1","Sirpa"
"183","Anxa2","Gnas","Hck","Itm2b","Sorl1","2810474O19Rik","Snap23","Pip5k1b"
"184","Kpna4","Kansl1","Ell2","Sat1","Shfm1","Mirt1","Fnip1","Braf"
"185","Cfl1","Ubc","Cd52","Pbx1","Ube2d3","Cdc42","4932438A13Rik","Baz2b"
"186","Fosl2","Rpl36","Fam134b","Srsf5","Dhrs7","Cotl1","Tnrc6b","Nfkbiz"
"187","Cd53","Syne1","Mapk6","Lamp2","Fam107b","Psap","Slfn4","Fcgr3"
"188","Ncf2","Zfp638","Skil","Dusp5","Klra2","Trem3","Stx11","Mapkapk2"
"189","Lyst","Tnpo1","Fosl2","Ier3","Ddx6","Klhl2","Fbxl5","Cd101"
"190","Trem3","Ldha","Arih2","Adgre5","H2-K1","Slc15a3","Dgat1","Gmfg"
"191","Lpcat2","Prpf40a","Antxr2","Myl6","Lilr4b","Dennd4a","Homer1","Tra2a"
"192","Etf1","Calm2","Relb","Per1","Oaz1","Agpat9","Ago2","1700112E06Rik"
"193","Por","Laptm5","Mirt1","C5ar1","Rab8b","Ddx3x","Syk","Pglyrp1"
"194","Gabarap","Lncpint","1700112E06Rik","Zfp36l2","Hif1a","Lilr4b","Rab20","Ptgs2"
"195","Fbxo11","Mapkapk2","Gsap","Ppp1r2","Hcls1","Cdkn1a","Tnrc18","Ptpn12"
"196","Zyx","Irak2","Elmo1","Gpcpd1","Trib1","Msn","Klra2","Actr3"
"197","Ccnl1","Msn","Sp100","Dusp16","Lrg1","Iqgap1","Hif1a","Ankrd12"
"198","N4bp1","Mier1","Tgoln1","Csf1","Isg15","Zfand3","Eml1","Sh2d3c"
"199","Trps1","Actr3","Fndc3b","Hmgb2","Myh9","Rps27","Prkcb","Kras"
"200","Neurl3","Hmha1","Iqgap1","Arpc1b","Klhl2","Pnrc1","Grina","Atp2b1"
