"","SC78_8_factor1","SC78_8_factor2","SC78_8_factor3","SC78_8_factor4","SC78_8_factor5","SC78_8_factor6"
"34","Cd52","Actb","S100a11","Rpl34","Hdc","Plek"
"35","Pfn1","Il1rn","Atf3","Diaph2","Ubb","Btg1"
"36","Msrb1","Actg1","Rps29","Rpl23","Cxcr2","Irg1"
"37","Prdx5","Ptprj","Spag9","Rps6","Litaf","Dusp1"
"38","Tpt1","Pik3ap1","Gadd45b","Rps13","Ube2h","Samsn1"
"39","Arpc1b","Ifrd1","Gabarap","Rpl27a","Rps9","Rnf149"
"40","Cxcl2","Hdc","Ifitm1","Foxp1","Btg1","Eif1"
"41","Anxa2","Ftl1","Ddx5","Rpl35a","Lcp1","Lmnb1"
"42","Rac2","Dennd4a","Cdk2ap2","Ptp4a2","Lyst","Ptprj"
"43","H2-D1","Zfp36","Txn1","Rpl28","Ddx6","Cd9"
"44","Ubb","Mcl1","Rps16","Rbm25","Rnf149","Btbd9"
"45","Pglyrp1","Arg2","Cst3","mt-Nd4l","Arg2","Mcl1"
"46","Ifitm3","Rab8b","Fxyd5","Ccnd3","Marcks","Kpna4"
"47","Coro1a","Ifitm2","Pfn1","Rps28","Lyn","Cmip"
"48","Arhgdib","Ier3","Plek","Rps21","Pbx1","Lilrb4a"
"49","Lrg1","Clec4d","Lmnb1","Rpl22","S100a11","Plaur"
"50","Stx11","Spag9","Map1lc3b","Rpl37a","Osbpl9","Litaf"
"51","Gm5483","Marcks","Jund","Hsp90aa1","Skap2","Baz2b"
"52","Fcer1g","Mapkapk2","Pnrc1","Dock2","H3f3a","Lyn"
"53","Itm2b","Eif1","Ets2","Jun","Actg1","H3f3b"
"54","Gnai2","Ptgs2","Litaf","Rpl39","Ssh2","Sorl1"
"55","Plaur","Slc7a11","Pim1","Ssh2","Svil","Wfdc17"
"56","Cyba","Sgms2","Cxcl2","Prrc2c","Zfp36l2","Igf1r"
"57","Myl6","Btg1","Hdc","Rpl30","Hp","Ets2"
"58","Cd14","Neat1","H2-K1","Lncpint","Lrg1","App"
"59","H3f3b","Ptafr","Rpl41","Rpl6","Cmip","Nedd9"
"60","Lgals3","Ehd1","Cd14","Rpl24","Ifitm2","Osbpl9"
"61","Arpc3","Lmnb1","Rpl17","Ptma","Stat3","Ctnnb1"
"62","Mcemp1","Tpd52","Cxcr4","Pan3","Iqgap1","Ptprc"
"63","Arpc2","H2-D1","Calm2","Ankrd44","Socs3","Cyth1"
"64","Hmgb2","H3f3b","Rpl18a","Zcchc11","Tmcc1","Pik3ap1"
"65","Cfl1","Wfdc17","Arpc1b","Rps23","Celf2","Ankrd33b"
"66","Arpc5","Litaf","G0s2","Rpl36","Arhgap26","Rabgef1"
"67","Prr13","Ets2","Ptgs2","Ppp3ca","Syk","Pim1"
"68","Serf2","Ifitm1","Rps27a","Ppia","Fam65b","Junb"
"69","Slc16a3","Csf3r","Ifitm3","Hspa8","Tyrobp","Il1rap"
"70","Sh3bgrl3","Erbb2ip","Kpna4","Rps14","Hmgb2","Emilin2"
"71","Ifitm1","Tnfaip2","Tnfaip2","Morf4l1","H2-D1","Trem1"
"72","Myl12b","Ptprc","Wnk1","Nipbl","S100a6","Tiparp"
"73","Lsp1","Lilrb4a","Rpl9","Rpl26","Cd84","Gab2"
"74","Mcl1","Btg2","Ppp1r15a","Clint1","Gab2","Csf3r"
"75","Map1lc3b","Samsn1","Lrg1","Naca","Fam49b","Braf"
"76","BC100530","Rel","Neat1","Son","Lmnb1","Fam134b"
"77","Cd9","Msrb1","Gng5","Dip2b","Map3k5","Btg2"
"78","Stfa2l1","Lcp1","Trem1","Akap13","Plek","Ddx6"
"79","Cdc42","Abtb2","Rpl23","Rps2","Cers6","Ccr1"
"80","Rps16","Tyrobp","Ifrd1","Xist","Phf21a","Arg2"
"81","Lcp1","H3f3a","Arpc3","Zcchc7","Gm42418","S100a11"
"82","Gmfg","Antxr2","Cd52","Zbtb20","Jund","March7"
"83","Junb","Fcer1g","Fgl2","Gdi2","Akap13","Gm42418"
"84","Fxyd5","Slfn2","Cox8a","Prkcb","Osm","Dusp16"
"85","Mrpl33","Chst11","Serf2","Rbm39","Txn1","Ifitm2"
"86","Btg1","Entpd1","Cd44","Arih1","Gda","Dennd4a"
"87","Mrgpra2b","S100a11","Selk","Rpl41","Fau","Pde7b"
"88","Gabarap","Ankrd33b","Rps10","Osbpl8","Igf1r","Lilr4b"
"89","Atp6v1g1","Hcar2","Cd9","Rps29","Pag1","Lamp2"
"90","Rpl37","Snap23","Csf3r","Ambra1","Arhgap24","Lcp1"
"91","Mgst1","B2m","Alox5ap","Fndc3a","Il1rap","Ell2"
"92","Mxd1","Rps9","Atp2b1","Itsn2","Snap23","Fxyd5"
"93","Pkm","Cd9","S100a8","Smg1","Fcer1g","Ncf2"
"94","Clic1","Il1r2","Cfl1","Cnbp","Tsc22d3","Ccnl1"
"95","Ddx5","2810474O19Rik","Mxd1","Arid5b","Entpd1","Hectd1"
"96","Gng5","Tpt1","Calm1","Myh9","Gadd45a","Rab7"
"97","Trem1","Fau","Inpp5d","Rel","Ddx5","Suco"
"98","Ostf1","Gm42418","Zfp36","Sh3kbp1","Ccrl2","Hif1a"
"99","Glrx","Tnfrsf1b","Samsn1","Zfp638","Arhgap15","Basp1"
"100","Rps29","Casp4","Dennd4a","Aff4","Coro1a","Ftl1"
