"","SC78_8_factor1","SC78_8_factor2","SC78_8_factor3","SC78_8_factor4","SC78_8_factor5","SC78_8_factor6","SC78_8_factor7"
"90","Tspo","Lrg1","Pag1","Lcp2","Ankrd33b","Shfm1","Rps14"
"91","Map1lc3b","Cfl1","Arhgap15","Ncf1","Pde7b","Atp6v1g1","Rpl22l1"
"92","mt-Co3","Arpc3","Ipcef1","Malt1","Ccr1","Mmp8","Ambra1"
"93","Anxa1","Rps13","Txn1","Dusp2","Ets2","Mmp9","Fus"
"94","Hmgb2","Alox5ap","Gadd45a","2810474O19Rik","Ccnl1","Stfa2l1","Rps21"
"95","Pfn1","Calm1","Fcer1g","S100a11","Isg15","Nedd9","Gdi2"
"96","mt-Atp6","Selk","Fau","Ankrd33b","Rab7","Rpl37","Rps29"
"97","Ncf2","Egr1","Gadd45b","Tnfrsf1b","Fem1c","Cd14","Kansl1"
"98","Lilrb4a","Rpl30","Gda","H2-K1","Tlr4","Rps16","Rpl35"
"99","Ddx6","Cd44","Ddx5","Sema4d","H3f3b","Cd9","Pik3c2a"
"100","Clec4e","Stk17b","March7","Chst11","Sp140","Atxn10","Pbx1"
"101","mt-Co1","Mir142hg","Gm5150","Antxr2","Gcnt2","Rps10","Rpl7a"
"102","Coq10b","Csf3r","Ccnd3","C5ar1","Ralgapa1","H3f3b","Macf1"
"103","Coro1a","Cd9","Zfand5","Rps9","Itpkb","Lcp1","Cnbp"
"104","Isg15","Myl6","Entpd1","H2-Q7","Cdk17","Gabarap","Clint1"
"105","Pnrc1","Dennd4a","S100a6","Gm42418","Ncf2","Gpsm3","Fnbp1"
"106","Sorl1","Ptprc","Usp32","Cd9","Arhgap15","Ncf4","Rpl30"
"107","Pik3ap1","Cdc42","Lst1","Ccl3","Suco","Slc16a3","Fndc3a"
"108","Gabarap","Rps23","Steap4","Pnrc1","Vmp1","Spi1","Arid1b"
"109","Cd52","Tpd52","Coro1a","Fau","Dennd4a","Eno1","Map4k4"
"110","Lyn","Itm2b","Lilrb4a","Tpt1","Csf3r","Cst3","Tra2a"
"111","Alcam","Ubc","Ncf2","Entpd1","Smchd1","Rhoa","Epb41"
"112","Ier3","Zfp36","Suco","Fbxo11","Junb","Aldoa","Rpl24"
"113","Tiparp","Dhx40","H3f3b","Ddx5","Fxyd5","Sri","Morf4l1"
"114","Wfdc21","Samsn1","Dock2","Il1r2","Arg2","Asprv1","Birc6"
"115","Rab7","Gmfg","Cd300lf","Ninj1","Jdp2","Fxyd5","Peli1"
"116","Lst1","Ier3","Fxyd5","Actr3","Por","Msra","Srrm2"
"117","Braf","Hp","Trps1","Ier5","Inpp5d","Actr3","Camk1d"
"118","Il1rap","Rplp2","Atg3","Smox","Arhgap26","Gda","Son"
"119","mt-Co2","Rac2","Zyx","Ddx6","Notch2","Rpl23","Smg1"
"120","Sh2d3c","Ier2","Sh2d3c","Txn1","Lyst","Timp2","Ccl4"
"121","Gm42418","Chst11","Atrnl1","Picalm","Aff4","1110008F13Rik","Map3k5"
"122","Suco","Igfbp6","Grina","Rabgef1","Lcp1","Cox8a","Lyn"
"123","March7","Mxd1","Klf6","Gsap","Klhl2","Il1b","Dock11"
"124","App","Pla2g7","Whsc1l1","Lpcat2","Pbx1","Cxcl2","Fryl"
"125","Iqgap1","AF251705","Ccrl2","Cd274","Grina","Rps13","Hnrnpa2b1"
"126","Zfp36","Myl12b","Slfn4","Rab11fip1","Trem1","Pygl","Atp2b1"
"127","Ptprj","Arpc2","Pim1","Relb","Actr3","Mxd1","Serbp1"
"128","Mrpl33","Atp6v0e","Xylt1","Hspa5","Runx1","Mcl1","Prkch"
"129","Stfa2l1","Xylt1","Taldo1","Lrg1","Mir142hg","Rpl34","Wnk1"
"130","Gm5150","Ifi27l2a","Sat1","Cd44","Arih2","Rdh12","Igf1r"
"131","Vps37b","Clec4e","Pla2g7","Fxyd5","Agpat9","Ddx5","Rpl26"
"132","Lsp1","Rps21","Pde4b","Nr4a1","Dhrs9","Ube2d3","Nsf"
"133","Arpc1b","Kdm6b","Ltb","Kpna4","Rab8b","Btg1","Rpl15"
"134","Gm5483","2810474O19Rik","Mctp1","Trem1","Vps4b","Sat1","Fbxl17"
"135","Rac2","Coq10b","Chst11","Lst1","Cyp4f18","Vasp","Elf1"
"136","Rps27a","Oaz1","Fgr","Traf3","Zeb2","Grina","Dock8"
"137","Anxa2","Rpl37a","Irg1","Ell2","Ago2","Iqgap1","Ankrd11"
"138","Sat1","Rps8","B2m","Jund","Iqgap1","Rps27","Zeb1"
"139","Etf1","Etf1","Sfxn5","Hp","Btg2","App","Stag1"
"140","Lamp2","Rps3","Emilin2","Nfe2l2","Sntb2","Arf5","Celf2"
"141","Nedd9","Tiparp","Tspan13","Ppp1r15a","Zcchc6","Gnb2","Nipbl"
"142","Actr3","Ube2b","Hcar2","Sorl1","Ptbp3","Rpl37a","Aff4"
"143","Gnai2","Clec4d","Bcl6","Rbpj","Trps1","Rps14","Rps5"
"144","Gcnt2","Ncf4","Fbxl5","Adam17","Slc11a1","Ifitm1","Ago2"
"145","Gab2","Atp6v1g1","Ankrd33b","Fndc3b","Wfdc17","Tmbim6","Lrch1"
"146","Ccl6","Cyba","Dusp16","Icam1","Sdcbp","Myh9","Mycbp2"
"147","Ccnl1","Taldo1","Alox5ap","Gpcpd1","Sp100","Slfn2","Rplp0"
"148","Myl6","Ier5","Fam134b","Gpbp1","Diaph1","Rpl30","Lrrc8d"
"149","Gda","Srsf5","Nfkbiz","Vasp","Slc15a3","Junb","Rps23"
"150","Mir142hg","Rpl27a","Adgre5","Iqgap1","Plin2","Ier2","Tbc1d5"
"151","Osm","Hspa5","Cytip","N4bp1","Nfkbiz","Arhgap15","Ikzf1"
"152","Arpc2","Rab7","Eif1","Bcl2a1b","Fndc3b","Adam8","Polr2a"
"153","Fosl2","Rplp1","Rap1b","Pfn1","Atrnl1","Rpl18a","Vps13b"
"154","Ier5","Sdcbp","Rsrc2","Snx18","Adam8","Cap1","Inpp5d"
"155","B2m","Pfdn5","Camk1d","Pbx1","Dopey2","Sh3glb1","Gls"
"156","Baz2b","Gm5150","Abtb2","Ctnnb1","Mirt1","mt-Co1","Zfp638"
"157","Cd53","Cstb","Sdcbp","Hck","Mbnl2","Ubl5","Arid5b"
"158","Ctsd","Sat1","Prkcb","App","Bcl2l1","R3hdm4","Npepps"
"159","Gmfg","Trib1","Tbc1d15","Rap1b","Fosl2","H2afz","Ubac2"
"160","Pla2g7","S100a8","Spi1","Pde7b","Arpc3","Arpc4","Utrn"
"161","Ctnnb1","Rps14","Selplg","Lyn","Fbxo11","Trem1","Ankrd12"
"162","Atp6v1g1","Cytip","Mbnl2","Ccnl1","Trib1","H2-K1","Baz1a"
"163","Snap23","Rap1b","Lsp1","Slc15a3","Rbms1","Dstn","Rpl9"
"164","Rap1b","Ctsb","Rbm39","Mrgpra2b","S100a11","Selk","Sgms1"
"165","Stx11","Lsp1","Antxr2","Cmip","Irak2","Ldha","Thoc2"
"166","Plk3","Hmgb2","Fgl2","Emilin2","Etf1","Dhrs7","Gm20388"
"167","Cyba","Sik3","Trim30a","Ncf4","Plk3","Zyx","Kmt2e"
"168","Ptgs2","Gnai2","Cd44","Zc3hav1","Gm26740","Hck","Uvrag"
"169","Sdcbp","Sh3bgrl3","Ier5","Trps1","Ddx5","H2afj","Aff1"
"170","Hcar2","Ddit3","Atp8a1","Igsf6","Chd7","Trem3","Ptbp3"
"171","Retnlg","Gm2a","Lamp2","Grina","Stk17b","Glipr2","Cdk13"
"172","Tnfaip2","Gm10076","Tspo","Ubb","Rab20","Dnaja1","Rock2"
"173","Nfkbiz","Ube2d3","Ctsd","Lilr4b","Pag1","Atp6v0e","Rpl17"
"174","Myl12b","Tceb2","Klhl2","Steap4","Ifitm2","Hmgn2","Eml4"
"175","Pglyrp1","Vps37b","Apbb1ip","Lyst","Wnk1","Cox4i1","mt-Atp8"
"176","Por","Ncf2","Ndel1","Adgre5","Chd2","Fis1","Baz2b"
"177","Lcn2","Polr2a","Anxa2","Arpc3","Marcks","Tpm3-rs7","Kmt2c"
"178","Arpc5","Emb","Hdac4","Nfkbie","Gtdc1","Mbd2","Zfp36l2"
"179","Zyx","Rhoa","App","Cd52","2810474O19Rik","Cnn2","Ctss"
"180","Selk","Tmbim6","Rab8b","Fas","C5ar1","Ly6g","Pip4k2a"
"181","Prr13","Mbnl2","Nup98","Rac2","Cd300lf","Rpl41","Foxn3"
"182","Cyp4f18","Arpc5","Pfn1","Trem3","Slc22a15","Ube2b","Ncoa1"
"183","Mrgpra2b","Ddx3x","Dmxl2","Oser1","Gk","Rplp0","Atp8a1"
"184","Atg3","Chchd2","Samsn1","Lsp1","Skap2","Gpi1","Jak1"
"185","Sp140","Jdp2","Ccr1","Zfand3","Dgat1","Emb","Pitpnc1"
"186","Cdc42","Clic1","Tnfaip2","Cdc42ep2","Nlrp3","Samhd1","Dyrk1a"
"187","Cd300lf","Anxa2","Mctp2","Gpr132","Ctsd","Vim","Nfkb1"
"188","Btbd9","Plk3","Serinc3","S100a6","Stat3","Rpl27a","Ncf1"
"189","Pde7b","Rnf149","Clec4d","Syk","Gda","Ctsd","Tnrc6b"
"190","Gapdh","Ccr1","Tra2a","Txnrd1","Cltc","Chil1","Rassf3"
"191","Tpm4","Msn","Klf3","Dock2","Slc2a1","Fbxl5","Dgkd"
"192","Lyst","Gab2","Cdkn2d","Slc16a3","Gpcpd1","Scand1","Rps4x"
"193","C5ar1","Pik3ap1","Arih1","Irak3","Kdm6b","Lst1","Clk1"
"194","Lilr4b","Coro1a","Mir142hg","Skap2","Tnfrsf1b","Jund","Rab10"
"195","Dusp16","Gm43661","Prr5l","Gcnt2","Myh9","Lrrfip1","Tsc22d2"
"196","Igf1r","Rpl38","Fcgr3","Nadk","Syk","Mctp1","Lcor"
"197","Kdm6b","Fos","Ets2","Zc3h12a","Dusp5","Psap","Rps17"
"198","Ddx3x","Snap23","Anxa1","Susd6","Gfod1","Samsn1","Camp"
"199","Marcks","Ctsd","Ddx3x","Igf1r","Zfand3","Fcgr3","Ifrd1"
"200","Trib1","Ptk2b","Sell","Neurl3","Rlf","Ncf2","Ncor1"
"201","2810474O19Rik","Grina","Ctnnb1","Nab1","Cnnm2","Hacd4","Ankhd1"
"202","Gpcpd1","Rbm39","Fyb","Arih2","Elmo1","Rap1b","Crlf3"
"203","Ralgapa1","Ptafr","Cxcl2","Il1f9","Snap23","Tpm4","Rps27"
"204","Ell2","Nfe2l2","Ncor1","Fbxl5","Csf2rb","Hcst","Hnrnpa3"
"205","Sell","Rpl37","Rapgef6","Prdx5","Fcer1g","Pilra","Mtdh"
"206","Mcemp1","Sub1","Tmem164","Ndel1","Top1","Ppp1ca","Itga4"
"207","Ifitm3","Dusp5","Slc7a11","Arhgap26","Pafah1b1","Tpm3","Cux1"
"208","Cyth1","Rabac1","Nfkbia","Gmfg","Klra2","Plin2","Myo1f"
"209","Skap2","Zfand5","Csrnp1","Rab20","4932438A13Rik","Atp5l","Gm10073"
"210","Adam8","Nudt4","Ptpre","Xylt1","Egr1","Chmp4b","Ash1l"
"211","Csrnp1","Ssu72","Etf1","Ccr1","Tnrc6b","Chchd2","Rps10"
"212","Anxa11","Csrnp1","Cyba","Fosl2","Tnrc18","Atg3","Ltb"
"213","Nlrp3","Fam32a","Cd52","Osbpl9","Cxcl3","Rps23","Fam107b"
"214","Sepn1","Braf","Ptpn12","Ddx3x","Msrb1","Rpl17","Wipf1"
"215","Cytip","Ndel1","Ccnl1","Tra2a","Pitpnc1","Rpl28","Rsrc2"
"216","Jdp2","D8Ertd738e","Gls","Coq10b","Homer1","Lyn","Zfp148"
"217","Cfl1","Slc16a3","Mapkapk2","Basp1","Wbp1l","Atp11b","Iqgap1"
"218","Tspan13","Mrpl33","Actr3","Tank","2810403A07Rik","Itgb2","Fam49b"
"219","Tgoln1","Chmp4b","Calm2","Chil1","Ap2b1","Rhog","Ptprj"
"220","Rps27","Ppp1r2","Elmo1","Socs3","Whsc1l1","Kdm7a","Fam172a"
"221","Fam134b","Rpl35a","Slfn2","Isg15","Nfe2l2","Hspa8","Dennd1b"
"222","Itm2b","Fam134b","Il13ra1","Snx20","S100a6","Serp1","Acap2"
"223","Mbnl2","Hnrnpf","Wipf1","Ifnar1","Crem","Rac1","Neat1"
"224","Cdk2ap2","Rabgef1","Cd33","Gtdc1","Mrpl33","Litaf","Gnaq"
"225","Ube2d3","Vamp8","Adipor1","Bcl3","Gsk3b","Rpl10","Ptprc"
"226","Glrx","Klf6","Kdm7a","Baz1a","Fnip1","Uqcrh","Itch"
"227","Spi1","Rps25","Ankrd11","Ctsz","Hpcal1","Lmnb1","Ezr"
"228","Cxcr2","Dnaja1","Smox","Jdp2","Anxa11","AB124611","Dnaja1"
"229","Hif1a","Cox6b1","Ptpn1","Ntng2","Tyrobp","Tarm1","Calm2"
"230","Cd84","Rpl21","Pip5k1b","Bcl2l11","Npepps","Cyp4f18","Pak2"
"231","Fem1c","Supt4a","Clk1","Ifitm3","Sepn1","Upp1","Itpr2"
"232","Clic1","Atp6v0d1","Coq10b","Rab7","Mctp1","Hpcal1","Whsc1l1"
"233","Egr1","Irg1","Themis2","Btbd9","C130026I21Rik","Capza1","Mbd5"
"234","Arih2","Cox4i1","Ppp3ca","mt-Atp6","Bre","Ier5","Senp6"
"235","Selplg","Hcar2","Msn","Mefv","Kctd12","Cxcr2","Fam65b"
"236","Ptp4a1","Serinc3","Txnip","Suco","Pum2","Stk17b","Col4a3bp"
"237","Mapkapk2","1700112E06Rik","Map1lc3b","Skil","Tgoln1","Sub1","Stk17b"
"238","Pbx1","Alcam","Slc40a1","Jak1","Cap1","Selplg","Tnrc6c"
"239","Ncf4","Plac8","Tgfbi","Tax1bp1","Rdh12","Myl12a","Nfat5"
"240","Trem3","Atp5e","Samhd1","Slfn4","Abtb2","Stfa2","D930015E06Rik"
"241","Ubc","Bri3","Pglyrp1","Spi1","Ftl1","Rpl35a","Rpl21"
"242","Rpl37","Skap2","2810474O19Rik","Snx10","Pdlim5","Aldh2","Atp9b"
"243","Pkm","Cd53","Ifitm3","Anxa1","Rbm39","Pgd","Arfgef1"
"244","Cap1","Entpd1","Atp6v1g1","Atp2b1","Pnrc1","Hdc","Pdcd4"
"245","Fam49b","Hnrnpc","Rac2","Il1rap","Arhgap24","Rps3","Atrx"
"246","Ptafr","Arg2","Hif1a","Gabarap","Il15","Cmip","Lcorl"
"247","Prdx5","Sh3glb1","Mtus1","Atrnl1","Samhd1","Clec4e","Ybx1"
"248","Syk","2310001H17Rik","Il17ra","Msn","Lrrfip1","Itgam","Tra2b"
"249","Kctd12","H2-T23","Rab7","Alox5ap","Mapkapk2","Diaph1","Fam134b"
"250","Rps16","Rsrp1","Notch2","Nedd9","Il18rap","Gpx4","Klf2"
"251","Slc15a3","Eif5","G0s2","Rps27","Mgea5","Ifi27l2a","Syk"
"252","Nudt4","Rps26","Trem1","Sik3","Nup98","Sgms2","Rab2a"
"253","Rhov","Clta","Itgal","Nr4a3","Sh2d3c","Notch2","Zc3h15"
"254","Gng5","Gla","Braf","Sat1","Sell","Ier3","Bclaf1"
"255","Rab20","Atp5l","Numb","Plaur","Cdkn1a","Ccr1","Zbtb11"
"256","Ube2b","1810058I24Rik","Mef2a","Pla2g7","Pias1","Calm3","Phip"
"257","Cst3","Ccnl1","Cd53","Fgl2","Arid4b","Pfdn5","Crebbp"
"258","Tax1bp1","Fosl2","Gmfg","Nfkbid","Ddx3x","Rnf130","Mir142hg"
"259","Klf3","Ostf1","Fndc3b","Cd300a","Gm26756","Gm10076","Birc3"
"260","Serf2","March7","Dhrs9","Tlr2","Fbxl5","Snx18","Irf2"
"261","Ypel3","Rbm3","Cdc42","Cd53","Tnfaip2","Sell","Prkce"
"262","Slc11a1","Cd47","Herc4","Optn","1700112E06Rik","Capzb","Tle4"
"263","Cdkn1a","Sntb2","Atf3","Tgoln1","mt-Co1","Rps21","Faf1"
"264","Fam65b","Tgoln1","Rassf3","Coro1a","H2-D1","Ptprc","Usp34"
"265","Serinc3","Basp1","Vav3","Traf1","Synj1","Fpr1","Taok3"
"266","Csf2rb","Brk1","Myo1f","Hmgb2","Srsf5","Tkt","Ncoa2"
"267","Nfe2l2","Btf3","Gm20388","Mcemp1","Sec24b","Mir142hg","Huwe1"
"268","Notch2","Fnip1","Rlf","Rbm39","Tra2a","Dazap2","Rock1"
"269","Rab8b","Arhgdib","Il1f9","Taldo1","Eea1","Supt4a","Mtmr3"
"270","Adgre5","Top1","St8sia4","Ctsb","Ptk2b","A530064D06Rik","Vav3"
"271","Gadd45a","Zfp36l2","Tbc1d14","Sf3b1","Tes","Tln1","Abi1"
"272","Atp6v0d1","Rps12","Il18rap","Gm5150","Gpr35","Chmp2a","Zfand3"
"273","Mctp1","Shfm1","Arpc3","Lrrc25","Tet2","Fam65b","Mbnl2"
"274","Clk1","Ankrd33b","Slc6a6","Baz2b","Pde4b","C5ar1","Wac"
"275","Fgl2","Cmip","Nfe2l2","Trib1","Eif4a1","Tgfbi","Chka"
"276","Srsf5","Marcks","Cux1","Batf","Rap1b","Pabpc1","Zfp36l1"
"277","Tgfbi","Prdx5","Dclre1c","Sqstm1","Kdm7a","Cd44","Zeb2"
"278","Calm2","Tmem59","Rbms1","Ifnar2","Tax1bp1","Gadd45a","Btbd7"
"279","Rdh12","Tspan13","Lilr4b","Etf1","Ptafr","BC117090","Ppig"
"280","Sntb2","Ankrd12","1700112E06Rik","mt-Co3","Celf2","Cers6","Lims1"
"281","Ppp1r2","Laptm5","Susd6","Asprv1","Nudt4","Ndel1","Srrm1"
"282","Slc2a1","Hist1h2bc","Ddit3","Chd2","Map3k5","Ppp1r2","Fos"
"283","Tra2a","C5ar1","Pik3ap1","Sntb2","Fus","Lilrb4a","Btbd9"
"284","Themis2","Mapkapk2","Kras","Tgif1","Themis2","Esd","Cdc42"
"285","Zcchc6","Tnfrsf1a","D1Ertd622e","Gab2","Cers6","Il1r2","Add3"
"286","D8Ertd738e","Gls","Qsox1","Rps29","Qsox1","B2m","Smarca2"
"287","Pag1","Dazap2","Por","Arf4","Col4a3bp","Lbr","Actb"
"288","Oaz1","Per1","Rsrp1","Npepps","H3f3a","Atp6v1f","Myh9"
"289","mt-Cytb","Rac1","Sephs2","Mapk6","Stk40","Atp5e","Rapgef6"
"290","Kras","Fam49b","Jak1","Cst3","Stx11","Fam32a","Rps16"
"291","Basp1","Tax1bp1","Hmox1","Il10ra","Isy1","Rps25","Bre"
"292","Fcgr3","Hsp90aa1","Gabarap","Cd300lf","Bcl2l11","Adipor1","Sorl1"
"293","Dhrs9","Rpl8","Kctd12","mt-Co2","Arpc2","Clta","Atf7ip"
"294","Sde2","Rheb","Slc16a3","Mir142hg","Ankrd11","Ptpn1","Nufip2"
"295","H2-K1","Ptp4a1","Pip4k2a","Nfkb2","Gnai3","Pxn","Strn3"
"296","Diaph1","Slc38a1","Plcl2","Fam65b","Crebbp","Bst1","Adam10"
"297","Klra2","Tra2a","Rps27a","Tspan13","Sbno1","Cdkn2d","Eif4g3"
"298","Dopey2","Tspo","Ptp4a1","Rhog","Msra","Klra2","Kdm5a"
"299","Chmp4b","Cox17","Slpi","Arpc2","Inpp5a","Actn1","Gnb1"
"300","Vps4b","Marcksl1","Tet2","Slc2a6","Vamp4","Eef1b2","Ppp1r12a"
