"","SC78_1_r6_f1","SC78_1_r6_f2","SC78_1_r6_f3","SC78_1_r6_f5","SC78_1_r6_f6","SC78_2_r6_f3","SC78_2_r6_f4","SC78_2_r6_f5","SC78_2_r6_f6","SC78_4_r5_f2","SC78_4_r5_f3","SC78_4_r5_f4","SC78_4_r5_f5","SC78_5_r5_f1","SC78_5_r5_f2","SC78_5_r5_f3","SC78_5_r5_f4","SC78_5_r5_f5","SC78_6_r6_f1","SC78_6_r6_f2","SC78_6_r6_f3","SC78_6_r6_f5","SC78_6_r6_f6","SC78_8_r5_f1","SC78_8_r5_f3","SC78_8_r5_f4","SC78_8_r5_f5","SC78_9_r4_f1","SC78_9_r4_f2","SC78_9_r4_f4"
"Cyp4f13",3.94614202065534,0.449481773619858,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.30225276253007,1.63135025174923,0.841548451022303,0.89323856368408,0.968298854392554,2.02267215479562,0.844684573618348,0.0604686405645885,0.497647428360274,0.934653726543604,0.312094965508275,0.97049096023167,0.722040276885063,0.599726621016533,2.22044604925031e-16,2.22044604925031e-16,1.36168035081575,0.283900982097247,0.697426684659679,0.29286532252164,0.566212609417227,0.0344798445454585,0.294218288431868,0.790486680951162,1.78406273877388
"Zfp101",0.418345287956283,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adamts10",0.616554970491096,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.03488013088021,2.22044604925031e-16,0.480463176614309,2.22044604925031e-16,0.294526918408239,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.666553930877372,0.399097425853248,2.22044604925031e-16,0,0,0,0,0,0,0,0,0,0,0,0
"Myo1f",8.99840098350652,17.234147712008,27.0412613438751,17.9486305604505,24.5146204709898,19.6501497295294,8.61202659465415,19.7170897518486,13.8923400812638,14.7213382652947,25.5159402405107,11.6306967156258,18.1789284579087,12.9129034787166,12.0008142083808,16.6392717024042,20.4173768925748,18.5467731562236,15.2410819777846,11.0688824836439,21.4562738667776,11.4369534239952,3.22537764626507,10.1607175452943,18.5243697115329,9.99534360131131,12.8013381864575,4.96329596315823,14.8820107865912,13.3167410298009
"Zfp414",0.62723666347964,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.21529197167509e-10,0.0948389180651884,0.540851371152343,0.0652599232360378,0,0,0,0,2.22044604925031e-16,2.22044604925031e-16,0.642235053938335,0.436154825006124,0.17052387848554,1.36761047270606,2.22044604925031e-16,0.197514251232167,0.370571114128343,2.22044604925031e-16,2.22044604925031e-16,0.221203215792219,2.22044604925031e-16,0.475032451274285,0.194089859864696,1.37736581972956,0.392910896494295
"Pram1",0.652294479334194,4.59894842095078,1.47751562680142,2.22044604925031e-16,2.51540193431752,3.59836605227413,2.28323921197518,7.88541693001896,2.32050763908607e-05,2.05456302676674,3.7208954318577,2.25433691759693,6.21273966694936,1.83862382267121,2.22044604925031e-16,8.04922337614552,6.47294002237567,2.68854552803984,8.12935636653362,2.05201158042569,4.91533244856439,1.36385333569751,2.22044604925031e-16,2.78290279382144,5.12553045313537,1.96542242821286,7.41414157335709,2.54157530641025,8.54236999935092,0.921486054585817
"Hnrnpm",6.96192920235367,3.47535329820025,2.22044604925031e-16,3.06048094552193,2.22044604925031e-16,5.21101586469642,9.59893466613301,6.39518746325884,6.56416854536226,5.37065262376658,5.52057401999585,7.61052966767236,5.69257769964036,4.03372423583388,10.5238535727448,1.00066507516367,7.56574196991286,9.5753660097265,4.70288068658509,3.58579129011819,6.28038591976499,9.91824172856709,6.75974527304388,9.70894595040414,4.57891381959604,3.89785102846205,0.339524380095241,5.4142119170245,3.62123183952767,10.0536855368791
"March2",2.92289349695039,0.392261912984121,2.22044604925031e-16,0.554578436251514,2.22044604925031e-16,4.0853806112912,1.50094067563693,3.01911070624277,1.97618079182491e-08,1.6352020543733,0.81311496231402,3.62998649438641,1.31487547866927,1.12051727035718,2.83308221611422,1.66126070824221,0.223427732133334,2.17945011853134,5.4539649963522,1.14069351347602,2.38261245744652,4.54736466827237,2.22044604925031e-16,1.10062582558304,1.70467066279877,2.11502491900626,2.79086166971876,1.63417097646519,3.62401075131811,3.22703482931653
"Rab11b",0.623369169157647,10.5247671132927,5.87679992729345,1.15748739997698,2.22044604925031e-16,1.97737753363424,5.51159127652798,8.48828763536901,2.22044604925031e-16,5.09740567132583,5.97465102254816,4.10097469196455,6.40275005840595,3.64087342061235,5.27449961167496,5.61882112082333,4.07866606775789,5.14867438366851,6.59596624317145,1.17616015958074,6.81096295905448,6.42452741286002,1.07652983430906,4.14239886279524,2.06378458654697,4.8450296535674,5.81737289286007,3.82351220295551,4.84838140814663,4.96962634891833
"Kank3",0.528518472637954,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
