"gene"	"out"	"MP"
"Atp6v0d1"	27.4173427644407	"MP1"
"Itm2b"	27.3691240520114	"MP1"
"Arpc2"	27.3438693036354	"MP1"
"Cd47"	27.3390239999114	"MP1"
"Cstb"	27.1953246325348	"MP1"
"H2afj"	27.167714145693	"MP1"
"Gm20388"	27.146444397979	"MP1"
"Fam49b"	27.1295260624679	"MP1"
"Cd52"	27.1105430271398	"MP1"
"Sorl1"	27.0993856953915	"MP1"
"Ctnnb1"	27.0690163251664	"MP1"
"Eif4a1"	27.0308286274921	"MP1"
"Msn"	26.9864252953096	"MP1"
"2810474O19Rik"	26.9846183431285	"MP1"
"Dock2"	26.8630793083699	"MP1"
"Rpl28"	26.8078163408338	"MP1"
"Myl6"	26.7846960775725	"MP1"
"Rps12"	26.4081799843934	"MP1"
"Sub1"	26.3989894134623	"MP1"
"Arpc3"	26.2772470555224	"MP1"
"Tsc22d3"	26.2634621031647	"MP1"
"Nudt4"	26.2439811537984	"MP1"
"Ccnd3"	26.0995915725208	"MP1"
"Fem1c"	26.0445144127181	"MP1"
"Tiparp"	26.0157334276907	"MP1"
"Ube2b"	25.9121375442979	"MP1"
"Cd53"	25.8804269715057	"MP1"
"Atp6v1f"	25.8140538294111	"MP1"
"Sat1"	25.5186539508989	"MP1"
"Cnbp"	25.5008969376474	"MP1"
"Rab7"	25.4431310334123	"MP1"
"Stk17b"	25.3856228876108	"MP1"
"Jdp2"	25.3397987710735	"MP1"
"Son"	25.338055846198	"MP1"
"Pitpna"	25.1885989691088	"MP1"
"Sf3b1"	25.1798400255439	"MP1"
"1810058I24Rik"	25.1536804195343	"MP1"
"Pum2"	25.0858463995162	"MP1"
"Lncpint"	25.0140937600276	"MP1"
"Cox6b1"	24.9925439841616	"MP1"
"Cytip"	24.941239059861	"MP1"
"Ptp4a1"	24.9345243662687	"MP1"
"Per1"	24.8868031342673	"MP1"
"Mxd1"	24.8768282033857	"MP1"
"Ankhd1"	24.8702465840736	"MP1"
"Rps5"	24.825892034176	"MP1"
"Tpd52"	24.8182767404303	"MP1"
"Dazap2"	24.7903990452487	"MP1"
"Atf4"	24.7532279283262	"MP1"
"Rps24"	24.7423874900151	"MP1"
"Atp5e"	24.7112702781632	"MP1"
"Celf2"	24.6305614137316	"MP1"
"Atp5l"	24.5029149874903	"MP1"
"Uba52"	24.4539476561381	"MP1"
"Pdlim5"	24.4234050277448	"MP1"
"Cd63"	24.4157871980062	"MP1"
"Srrm2"	24.3543689332482	"MP1"
"Cited2"	24.3332363490893	"MP1"
"Stag1"	24.3304419034477	"MP1"
"Lyn"	24.3223115098658	"MP1"
"Ssu72"	24.2656886607284	"MP1"
"H2afz"	24.1457431613417	"MP1"
"Eef1b2"	24.1039068297174	"MP1"
"Ostf1"	24.0963686045523	"MP1"
"Camk1d"	24.0832131386421	"MP1"
"Rab2a"	24.0535015336602	"MP1"
"mt-Nd4"	24.035860285948	"MP1"
"Ranbp2"	23.9984942477298	"MP1"
"Mirt1"	23.9609615823555	"MP1"
"Selk"	23.8251373801006	"MP1"
"Clk1"	23.8239882809379	"MP1"
"Ssh2"	23.7678536388462	"MP1"
"Igf1r"	23.7553104075812	"MP1"
"Ubl5"	23.7506381838534	"MP1"
"Hmgb2"	23.708566118572	"MP1"
"Naca"	23.6695706718748	"MP1"
"Top1"	23.6268857482645	"MP1"
"Gcnt2"	23.6148420501221	"MP1"
"Ptbp3"	23.5889255028345	"MP1"
"Rgs2"	23.5641976901487	"MP1"
"Samsn1"	23.5512537866634	"MP1"
"Atp6v0b"	23.4921229118409	"MP1"
"Dhx40"	23.4321547365609	"MP1"
"Ccr1"	23.4195286146321	"MP1"
"Card19"	23.4190973756581	"MP1"
"Arf4"	23.4038093775402	"MP1"
"Rhob"	23.3811196368628	"MP1"
"Scarb2"	23.3686887060557	"MP1"
"Rpl14"	23.3231653774446	"MP1"
"Tmbim6"	23.3216205779236	"MP1"
"Ezr"	23.3042874798953	"MP1"
"Sh3glb1"	23.2984841442366	"MP1"
"Picalm"	23.1948970314984	"MP1"
"Slc3a2"	23.0146042130127	"MP1"
"Tmed2"	22.9841947096769	"MP1"
"Rnf149"	22.9838330322958	"MP1"
"Clta"	22.9797499599314	"MP1"
"Saa3"	22.9752347141075	"MP1"
"Neurl3"	22.9596196747627	"MP1"
"Apbb1ip"	22.9566692033193	"MP1"
"Pafah1b1"	22.9421939557695	"MP1"
"Hmgb1"	22.8854331351214	"MP1"
"Slc38a2"	22.8547051608062	"MP1"
"Slc25a3"	22.8129898739003	"MP1"
"Hist1h1c"	22.7888167667124	"MP1"
"Scand1"	22.7597162753862	"MP1"
"Atp6v1a"	22.7551887415722	"MP1"
"Rap1a"	22.750937164063	"MP1"
"Gm5150"	22.6847788274284	"MP1"
"Suco"	22.6439025453863	"MP1"
"Supt4a"	22.600757911472	"MP1"
"Itga4"	22.5343354755702	"MP1"
"Gnb1"	22.5232839698022	"MP1"
"Myl12b"	22.50176773354	"MP1"
"Grb2"	22.4745948645728	"MP1"
"Wipf1"	22.4651337169055	"MP1"
"Cox7a2"	22.4584698081022	"MP1"
"Tmem59"	22.400553227094	"MP1"
"Cdkn1a"	22.398682539831	"MP1"
"Il15"	22.3636473775562	"MP1"
"Ninj1"	22.3488190631986	"MP1"
"Ptpn6"	22.3403336136643	"MP1"
"Gla"	22.3145217474096	"MP1"
"Tax1bp1"	22.30661737848	"MP1"
"Sap18"	22.2869501393665	"MP1"
"Nufip2"	22.2790513453971	"MP1"
"Ppp2ca"	22.1945626016332	"MP1"
"Metrnl"	22.1576125226718	"MP1"
"Cd244"	22.1361261351318	"MP1"
"Cd24a"	22.1277160544693	"MP1"
"Hnrnpa0"	22.0892915501866	"MP1"
"Kras"	22.0870072657099	"MP1"
"Vps13b"	22.0826104977724	"MP1"
"Kif5b"	22.0499749987333	"MP1"
"Hnrnpa2b1"	22.0146754281914	"MP1"
"Gadd45g"	22.0108441896549	"MP1"
"Pnpla7"	21.9624337731519	"MP1"
"Arih2"	21.9480845608758	"MP1"
"Pias1"	21.9296580931439	"MP1"
"Ube2d3"	21.9025528396735	"MP1"
"Rapgef6"	21.9022000747548	"MP1"
"Qk"	21.8968358853932	"MP1"
"Cab39"	21.8628585043809	"MP1"
"Mdh2"	21.8606264660391	"MP1"
"Erbb2ip"	21.8503471576769	"MP1"
"Rpl6"	21.8452971012456	"MP1"
"Ube2i"	21.8281684422363	"MP1"
"Cpeb2"	21.8234156695399	"MP1"
"Srp14"	21.8090460279793	"MP1"
"Ndel1"	21.7539655824741	"MP1"
"Hnrnpk"	21.752122984726	"MP1"
"Syf2"	21.7290788279639	"MP1"
"Jak1"	21.7127217637034	"MP1"
"Ltb"	21.7079214097964	"MP1"
"Ppp1r2"	21.6824773423223	"MP1"
"Cd9"	21.6450503635894	"MP1"
"Ost4"	21.6013634968278	"MP1"
"Clic1"	21.5527017488332	"MP1"
"Coq10b"	21.5056762397668	"MP1"
"Ago2"	21.4615413618515	"MP1"
"Rpl22"	21.446583049076	"MP1"
"Rps19"	21.4019301809336	"MP1"
"Gnaq"	21.3292844164401	"MP1"
"Coro1a"	21.2926499789517	"MP1"
"Tgoln1"	21.2631325039362	"MP1"
"Elmsan1"	21.2410816998867	"MP1"
"Myo1f"	21.2202254700403	"MP1"
"Slc25a5"	21.2152500621137	"MP1"
"Nfe2l2"	21.1941937476016	"MP1"
"Brd2"	21.1752137030304	"MP1"
"Fam32a"	21.1521578701644	"MP1"
"Dnaja1"	21.1043448931246	"MP1"
"Efhd2"	21.0020231480497	"MP1"
"Pnpla2"	20.9573086547353	"MP1"
"Dusp5"	20.9530744563313	"MP1"
"Srsf3"	20.9483331657367	"MP1"
"Atg2a"	20.9380849624991	"MP1"
"Ppp3ca"	20.916796826265	"MP1"
"S100a11"	20.9119925325152	"MP1"
"Dnm2"	20.8829533318671	"MP1"
"Tnrc6b"	20.8803294033204	"MP1"
"Eef2"	20.8399585515207	"MP1"
"Arhgdib"	20.7991413111355	"MP1"
"Fndc3b"	20.7825135934383	"MP1"
"Abracl"	20.761074721288	"MP1"
"Zeb2"	20.677285460842	"MP1"
"P4hb"	20.6024471497518	"MP1"
"C5ar1"	20.5917459167669	"MP1"
"Cox6a1"	20.5864317800675	"MP1"
"Rpl7"	20.5349974149317	"MP1"
"Nedd8"	20.458641360392	"MP1"
"Arpp19"	20.4369707187044	"MP1"
"Cotl1"	20.4097711739256	"MP1"
"Pik3ap1"	20.3834938528234	"MP1"
