"","logFC","logCPM","F","PValue","FDR","Nhood","SpatialFDR","sub_celltype","sub_celltype_fraction","nh_size"
"171",-0.157637915213683,11.2785573028221,0.289468899308555,0.635623333473968,0.784175983208974,171,0.802888867292824,"Naive-Stem-Like",0.954545454545455,88
"172",-0.430890265756254,11.4616814310941,2.21398930748248,0.176995104838562,0.33999524789919,172,0.344514306463293,"CD8 T Cells",1,101
"173",-0.806761447046964,11.3798848099109,6.8842374267275,0.0186753709110876,0.0779083655179714,173,0.0712126479588191,"CD8 T Cells",0.978947368421053,95
"174",0.0769518220359809,11.7049158221152,0.0920833366786428,0.782290218010956,0.873205027131148,174,0.880938360655816,"CD8 T Cells",0.991735537190083,121
"175",0.00206948615032408,11.3660750014629,5.3113010909961e-05,0.99477063865682,0.997508272042192,175,0.997508272042192,"Treg",1,94
"176",-0.325893662294318,11.1692816181929,1.11933188833587,0.354788589102755,0.559265982058923,176,0.569925887663624,"CD8 T Cells",0.925925925925926,81
"177",-0.160461064486105,11.7159394396446,0.388256466274986,0.570810859819074,0.745726503434111,177,0.765130951652051,"Treg",0.877049180327869,122
"178",0.37332392057331,11.3084943719555,1.78553672454947,0.237017720042222,0.421932406799301,178,0.430186063963189,"CD8 Effector Memory",0.944444444444444,90
"179",0.61200746418801,11.3232314403926,4.95923477547452,0.0481676415286703,0.15541590586985,179,0.148153139008299,"CD8 Tex",0.758241758241758,91
"180",0.0948033878639891,11.6936856715408,0.138798699578619,0.734238287564388,0.851798912267024,180,0.86463498477191,"Treg",0.758333333333333,120
"181",-0.383691091309557,11.3228712140807,1.67243075829159,0.251271114739395,0.437869073364431,181,0.444251724123326,"CD8 Effector Memory",0.593406593406593,91
"182",1.18411242108809,11.3234723655954,19.2839876528476,9.75445143948773e-05,0.00122078437712377,182,0.000887654443346463,"CD8 Tex",1,91
"183",0.229836837449347,11.576388702599,0.75913980903141,0.425865168096478,0.623696150439168,183,0.637437669504447,"CD8 Tex",0.727272727272727,110
"184",0.928624306717402,11.0158626671663,8.91159268022748,0.00682272167365448,0.0375704540162573,184,0.0332915650039059,"CD8 T Cells",0.944444444444444,72
"185",0.612351841724787,11.1367945179542,4.41630382354019,0.0652487881194404,0.19215765380596,185,0.187018272419629,"Naive-Stem-Like",0.949367088607595,79
"186",-0.5296298523568,11.3081936418235,3.07307356261198,0.120871569363588,0.271304120371671,186,0.275636127930328,"CD8 T Cells",0.944444444444444,90
"187",0.777581709602554,10.8836878102752,4.88390920364307,0.0321694567450501,0.113555432783809,187,0.106549975080603,"Naive-Stem-Like",0.953846153846154,65
"188",1.83100534352126,11.970923487559,75.5141622810135,2.37910828133052e-14,2.45642930047377e-12,188,1.37055228773587e-12,"CD4/8 NaiveLike",1,147
"189",0.0945782034838992,11.0687092288489,0.0909492439441936,0.788396928408154,0.877649410869454,189,0.885670528934463,"CD8 T Cells",0.933333333333333,75
"190",1.37802533423558,11.4491208001774,27.6087126890827,1.92647040040551e-06,3.97816137683739e-05,190,2.44471396720121e-05,"CD4/8 NaiveLike",0.89,100
"191",-0.731973526861153,11.0333110420669,4.40839271576723,0.0587430795720951,0.177086801921717,191,0.170542910801019,"Treg",0.958904109589041,73
"192",0.97407966542741,11.7275775004392,16.6048817661012,0.000212338755838973,0.00257929135769105,192,0.00188914964457081,"CD8 Tex",0.804878048780488,123
"193",0.641191353297085,11.6481386135153,6.55269668515667,0.0193923110523024,0.080090244646009,193,0.0731342489956733,"Treg",0.612068965517241,116
"194",0.163587691052835,11.3519263581201,0.338641303979673,0.603711776767557,0.758662224138341,194,0.77689733877359,"CD8 Tex",0.978494623655914,93
"195",-0.583584570786126,11.1529064579113,3.35207091894726,0.108904328273821,0.257014214726217,195,0.26086548112439,"Treg",0.9375,80
"196",0.237457629051574,11.5010896434693,0.772689426947887,0.423385286660439,0.622970479772256,196,0.636984161551815,"Treg",0.730769230769231,104
"197",-0.899470934077154,11.4482340039173,8.6217958485218,0.00781769395056121,0.0408697164757187,197,0.0364666157079788,"CD4+ Helper T Lymphocytes",0.94,100
"198",-0.249061659974325,11.2327279510658,0.693966426825766,0.46562019744976,0.662965308766158,198,0.677143121629125,"Treg",1,85
"199",-0.579825056601498,11.5136051704363,3.9989767303975,0.0683385502693289,0.195746051714954,199,0.191079473129375,"Treg",0.895238095238095,105
"200",-0.587334719463832,11.4076832028985,3.879067759707,0.0760754384566344,0.212291595152635,200,0.207552518328755,"Treg",1,97
"201",0.448721936734992,11.1856551063527,2.43332948664968,0.172648709890708,0.336339232004068,201,0.342482973474198,"Naive-Stem-Like",1,82
"202",0.0126765694631028,11.5265409167775,0.00216042700556455,0.96616902344087,0.978009330100684,202,0.981716630751271,"CD8 T Cells",1,106
"203",-0.420006230065235,11.2326755598634,1.90768167007563,0.226381203421173,0.409365038018495,203,0.417129107686656,"Treg",0.811764705882353,85
"204",0.645387378812476,11.8025157183731,7.62758198090958,0.0127560773927665,0.0572636952523103,204,0.0512570308382228,"Treg",0.615384615384615,130
"205",-0.361684919192612,11.0685847721174,1.2253734036153,0.324549511224664,0.536155792543144,205,0.54396610645364,"Treg",0.586666666666667,75
"206",0.640241733941817,10.9976259240867,4.02162350195604,0.0670770495369731,0.193726024187202,206,0.189015444160341,"CD8 Effector Memory",0.633802816901408,71
"207",-0.259434954890075,11.2934730788578,0.774316231747883,0.437327097869638,0.629324360348991,207,0.642990955268543,"CD8 Tex",0.337078651685393,89
"208",0.976700461940464,11.1033585391361,11.1450774334636,0.0032234517283994,0.0225641620987958,208,0.0193674592450179,"CD8 Tex",0.974025974025974,77
"209",-0.645352348837933,11.0510320382173,3.5855555952218,0.0902140358896842,0.22718534647829,209,0.227898131022164,"CD8 T Cells",0.986486486486487,74
"210",2.17077529615643,11.4494499555583,66.5660109858669,1.43408644319811e-13,1.18455540208164e-11,210,6.66822371626168e-12,"CD4/8 NaiveLike",1,100
"211",-1.37418846734106,11.1362499172757,15.0448958943916,0.00066771651079881,0.00612815375509421,211,0.0047752175441957,"CD8 Tex",0.582278481012658,79
"212",0.0946418867371395,11.2172357428252,0.105388756012841,0.776379486754103,0.873205027131148,212,0.880938360655816,"Treg",0.773809523809524,84
"213",-0.670296811031252,11.0685146868585,3.93974516642409,0.0773173481598774,0.214309159664627,213,0.209716300644137,"CD8 T Cells",1,75
"214",0.382585381837914,11.2636302042388,1.840746094384,0.233094678326851,0.416745030948007,214,0.424683179351116,"Treg",0.954022988505747,87
"215",1.86266980497583,11.3809041563773,48.5105840575021,4.22559980186168e-10,2.18146589771109e-08,215,1.25388979048606e-08,"CD4/8 NaiveLike",0.821052631578947,95
"216",0.75675479673621,10.8023637183336,3.89605862172602,0.048732384678857,0.156019185057116,216,0.148626816879049,"CD4/8 NaiveLike",0.737704918032787,61
"217",-0.201231894048901,11.2013777634019,0.448088621289033,0.558370047772733,0.732085173746473,217,0.750943390479796,"CD8 Effector Memory",0.939759036144578,83
"218",-0.0266697131718703,11.5516166870951,0.00965504209821349,0.928505201545706,0.95154503284957,218,0.955843057808754,"Treg",0.87037037037037,108
"219",0.675995837935121,11.1032612489321,5.21931329584311,0.0438251815466369,0.145966128860976,219,0.138025773446797,"Naive-Stem-Like",0.662337662337662,77
"220",0.787065480403031,10.9226874434583,5.3996179035326,0.027673511721096,0.103901457643751,220,0.0961928335614323,"Treg",0.462686567164179,67
"221",0.56470997793163,11.201635352274,3.95035262660104,0.0822354907664991,0.223442484780027,221,0.220398581303921,"CD8 Tex",0.795180722891566,83
"222",-1.07732648634275,11.2011494229645,10.5670981923443,0.00448395674274816,0.0268387555761593,222,0.023152759043536,"CD8 T Cells",0.987951807228916,83
"223",0.828583913854078,11.5766786284359,10.5349130723159,0.00301170671244706,0.0225641620987958,223,0.0192659586605994,"CD8 Tex",0.981818181818182,110
"224",0.585228722139258,11.3377233303869,4.54755387952711,0.0578250681293644,0.175601126010496,224,0.168736719298667,"CD8 Effector Memory",0.956521739130435,92
"225",-0.920401350203045,11.1691279821872,7.82397766727117,0.0144319573239818,0.0634084933489838,225,0.0573356808588835,"Treg",0.925925925925926,81
"226",-0.858433326442166,11.2783515176869,7.39615305485694,0.0166265734838164,0.0715289046751684,226,0.0651132953025372,"CD8 Tex",0.488636363636364,88
