"","SC78_9_factor1","SC78_9_factor2","SC78_9_factor3","SC78_9_factor4","SC78_9_factor5","SC78_9_factor6","SC78_9_factor7","SC78_9_factor8","SC78_9_factor9"
"63","Vasp","Ifrd1","Zfp292","Zyx","Ddx5","Cpd","Clec4d","Rpl37","Fgl2"
"64","Txn1","H3f3b","Ubc","Btg1","Nedd9","Lcp1","Hcar2","Rps7","Socs3"
"65","Dstn","Ddx5","Fam162a","Tpd52","Snx18","Il18rap","H2-D1","Naca","Ddx5"
"66","H2-D1","Arid4b","Tpd52","Zfp36","App","Srgn","Lpcat2","Rpl9","Cd52"
"67","Prr13","Sptan1","Ctsb","Cyba","Stx11","Cd44","Ptgs2","Cox6b1","Rpl41"
"68","Fcer1g","Pag1","Rps27","Fxyd5","Ctnnb1","Nedd9","Erbb2ip","Ubl5","Tsc22d3"
"69","Mgst1","Rgs2","Emilin2","Pkm","Arg2","Klf2","Gsap","Rps15","Pfn1"
"70","Gpx1","Neat1","H2-K1","Cxcr2","Osbpl9","Rassf3","Lcp2","Gng5","Rpl9"
"71","Taldo1","Nabp1","Btg1","Jund","Cyth1","Map3k5","2810474O19Rik","Rps25","Lsp1"
"72","Rps27a","Jund","Npepps","Il1r2","Fxyd5","Cd84","Actg1","Rps15a","Rps10"
"73","Gpi1","Clk1","G0s2","Klf2","Grina","Camk1d","Abtb2","Rps2","Gpcpd1"
"74","Itm2b","Ftl1","Osbpl9","Gda","Il1rap","Ube2h","Igsf6","Fau","B2m"
"75","Msrb1","Tmsb4x","Gm42418","Arpc3","Stfa2","Fam65b","Ehd1","Hmgb1","Ccnd3"
"76","Hmgb2","Nufip2","Cd300lf","H3f3b","Hilpda","Stk17b","Dusp1","Pfdn5","Cd84"
"77","Gnai2","Il1b","Fcer1g","Anxa2","Klhl2","Iqgap1","Ifitm1","Rpl35a","Arpc3"
"78","Arpc2","Ccnl1","Igf1r","Atp6v1g1","Ets2","Vav3","Dennd4a","Oaz1","Igfbp6"
"79","Pkm","Tob1","Clec4d","Eif1","Fau","Cask","Snap23","Dynll1","Rpl39"
"80","AA467197","Nup98","Grina","Stfa3","mt-Co2","Myo1f","Pnrc1","Rpl26","Picalm"
"81","Shfm1","Txnip","Xylt1","mt-Co2","Pfn1","Pip5k1b","Traf3","Atp5l","Gcnt2"
"82","Ostf1","Chka","Lyst","Rps29","Alox5ap","Tmsb4x","H3f3b","Rpl22","Ptma"
"83","Vim","Gm20388","Ptgs2","Socs3","Jdp2","Mctp2","C5ar1","Arpc1b","Coro1a"
"84","Sri","Cmip","Pfkp","Hdc","Rdh12","Rbm47","Ifitm2","Itm2b","Ccr1"
"85","Arpc5","Jmjd1c","Gabarap","Picalm","Hif1a","Med13l","Ftl1","Prdx5","Gabarap"
"86","Fau","Atf4","Ppp1r3b","Mcemp1","Ncf2","Numb","H2-K1","Rpl7","Zfp36l2"
"87","Rpsa","Pabpc1","Phf21a","Selplg","Rnf149","Zfand3","Oser1","Rpl36","Pla2g7"
"88","Actr3","Rsrc2","Rps29","Rpl37","Sorl1","Atxn1","Tnfrsf1b","mt-Atp6","Rpl17"
"89","Cebpb","Cd24a","Map1lc3b","Cxcl2","Bcl2l1","Tmem164","Trem1","Gpx4","Cxcr2"
"90","Calm1","Sat1","Fxyd5","Gnai2","Lyn","Mxd1","Il1r2","Cd52","Gm5150"
"91","Rps29","Irs2","Dusp1","Arpc1b","mt-Co3","Mtus1","Btg2","Gnb2l1","Lmnb1"
"92","Srgn","Hnrnpa2b1","Spag9","mt-Atp6","mt-Atp6","Diaph1","Marcks","Ssu72","Rpl23"
"93","Slfn4","Lmnb1","Arid5b","mt-Co3","Tpm4","App","Fbxl5","Brk1","Ier2"
"94","Ubb","Abtb2","Hectd1","Glrx","Junb","Rlf","Eif1","Tpt1","Stfa2l1"
"95","Cotl1","Arhgap26","P4ha1","Stk17b","H2-D1","Tbc1d14","Ier5","Atp5h","Snap23"
"96","Ncf4","Wsb1","Gm5483","Mxd1","Neat1","Actb","Cdc42ep2","Atp5e","mt-Co1"
"97","R3hdm4","Tiparp","Cd53","Fbxl5","Lcp1","Syk","Rab11fip1","mt-Co3","Iqgap1"
"98","Cdc42","Rapgef6","Ap3s1","Gmfg","Fosl2","Dusp1","Ninj1","Rps19","Grina"
"99","Gmfg","Il1rap","Fcgr3","Iqgap1","Adam8","Bcl6","Lmnb1","Cox6a1","Zyx"
"100","Eif1","Zfp36l2","Rlf","Gpx1","Igf1r","Tpd52","Lilrb4a","Tceb2","Txn1"
"101","Cd9","mt-Co1","Jun","Clic1","Ccr1","Fyb","Wfdc17","D8Ertd738e","Cyba"
"102","Arpc3","Tra2b","Gadd45b","Atxn10","Coro1a","1700112E06Rik","Irak3","Bri3","Rap1b"
"103","Serf2","Srsf3","Pik3ap1","Btg2","Msrb1","Samhd1","Ppp1r15a","Rps6","Anxa1"
"104","Pygl","Sgk1","Samsn1","Itm2b","Fcer1g","Rfwd2","Asprv1","Txn1","Cdc42"
"105","Ncf1","Gadd45a","Smox","Arpc2","Lilrb4a","Stat3","Litaf","Cox5b","Rps3"
"106","Lcp1","Slbp","Tmem189","Gpcpd1","Ccl6","March1","Btg1","Atp6v1f","Plin2"
"107","Gm8730","Rbm39","Pim1","Vim","Asprv1","Atp11b","Neurl3","Arpp19","Rpl27a"
"108","Anxa11","Dnajb1","Ostf1","Cdc42","Ccnl1","Ddx6","Lcp1","Cox5a","Gng5"
"109","Atxn10","Dnajb9","Ctsd","Pla2g7","Csf3r","Luc7l2","Slc7a11","Ubb","Arg2"
"110","Cfl1","Spag9","Lilrb4a","Arg2","Iqgap1","Arhgap24","Gm42418","Rpl28","Klf6"
"111","Itgam","Pdlim5","mt-Co3","Fcgr3","Dusp16","Ptbp3","Il1rn","Shfm1","Rnf149"
"112","Eef1a1","Ier2","mt-Co1","Mmp9","Arpc2","Map3k3","Nfe2l2","Rps26","Cdk2ap2"
"113","Glrx","Arhgap15","Rsrp1","Ddx5","Cd52","Ppp1r12a","Tpt1","Mdh2","Rps14"
"114","Mettl9","Osbpl8","Tyrobp","Ncf4","Actr3","Mirt1","Fbxo11","H3f3b","Rhoa"
"115","Cap1","Stk17b","Hmox1","Pim1","Cd53","Itga4","Ddx5","Ost4","Selplg"
"116","Rps12","Cebpb","Elmo1","Asprv1","Ctsd","Tnrc6b","Ankrd33b","Srp14","Sorl1"
"117","Rplp0","Trib1","Hif1a","Sat1","Stk17b","Fgd4","Orai2","Arhgdib","Rps21"
"118","Msra","Srsf5","Fnip2","Mtus1","Ptprc","Fndc3b","Chil1","Rbx1","Stat3"
"119","Pgd","Ankrd12","Atf3","Lmnb1","Lamp2","Mef2a","Arf4","1700112E06Rik","Rpl37"
"120","Rps20","H3f3a","Atp2b1","Eif4ebp1","Map2k4","Hipk1","H3f3a","Eif5a","Plek"
"121","Ceacam10","App","Ddx5","Litaf","Arhgap15","Rnf149","Relb","Sf3b6","Gab2"
"122","Mcl1","Mxd1","Ccr1","Aldoa","Ppp1r3b","Wfdc17","Rap1b","Sec62","Cd300lf"
"123","G0s2","Serinc3","Atp6v1a","Rps16","Notch2","Ncf2","Malt1","Atp6v0b","Rpl30"
"124","Actn1","Arg2","Mxd1","Arhgap15","Lilr4b","Susd6","Susd6","Plin2","Sat1"
"125","Rps4x","A530013C23Rik","Ccl3","Tgfbi","Rabgef1","Hectd1","Mapk6","Sub1","Rps23"
"126","Cd24a","Hmox1","1700112E06Rik","Rps27","Ptprj","Pten","Fas","Scand1","Serinc3"
"127","Plaur","Fbxl5","Fmnl2","Pygl","Irg1","Pam","Rps9","Rpl5","H2-K1"
"128","Oaz1","Zfos1","Cd274","Spi1","Suco","Alcam","Csf3r","Cox7a2","Rbm39"
"129","Cnn2","Irf1","B2m","Gpi1","Rps27a","Rnf144a","Dusp2","Arpc2","Rac2"
"130","Rps10","Xylt1","Txn1","Mrpl33","Lcn2","Adam19","mt-Co1","Cox6c","Cytip"
"131","Mcemp1","Elmo1","Plek","Gabarap","Diaph1","Gnaq","Snx18","Cirbp","Spi1"
"132","Rps16","Gab2","Etf1","G0s2","Kpna4","Plcl2","Ccnl1","Vamp8","Mir142hg"
"133","Grina","Eif5","Tbc1d15","Ncf2","Mcemp1","Pygl","App","Supt4a","Itm2b"
"134","Iqgap1","Plin2","Msra","Cd14","Ddx6","Fcho2","Icam1","Tmed2","Gm2a"
"135","Mapk13","Egr1","Wwp2","Ostf1","Etf1","Rock1","Nr4a1","Clta","Vim"
"136","Myl12b","Atg2a","Rps9","Arhgdib","Zyx","Gm26740","Picalm","Atp5f1","Cmip"
"137","H3f3b","Samsn1","Csf1","Cd33","Eif4a1","Ncor1","Fau","mt-Nd2","Myl6"
"138","Clic1","Lyn","Soat1","Ier2","Zcchc6","Notch2","Gnb1","Gsn","Ets2"
"139","Gm42418","Igf1r","Bsg","Cfl1","Por","Pan3","Nadk","Myl12b","Skap2"
"140","Flna","Klhl2","Msrb1","Rpl9","Gm42418","Zeb2","Neat1","Rplp0","Gmfg"
"141","Rpl37a","Sik3","Ppp1r15a","Ptprc","Rap1b","Dmxl2","Nab1","Gm10076","C5ar1"
"142","Fam65b","Gpcpd1","Irg1","Cers6","Hp","Msn","Ccl3","Hp","Gm42418"
"143","Mrgpra2b","Jak1","Ankrd33b","Svil","Baz2b","Il1rap","Cd274","Cnbp","Cfl1"
"144","Pirb","Lamp2","Rabgef1","Osm","Selk","Osbpl9","Fgr","Hist1h2bc","Cox8a"
"145","Rpl7","Mcl1","Sat1","Myl6","Map1lc3b","Cd33","Rab20","Chmp2a","Pglyrp1"
"146","Rpl23","Id1","Cd14","Cd300lf","Rsrp1","Atp2b1","H2-T23","Cfl1","Marcks"
"147","Cd14","Socs3","Zfp36","Myl12b","Sdcbp","Il6ra","Hspa5","mt-Co2","Atp6v1g1"
"148","Gng5","Eif1","Chd7","Ccr1","Plek","Cxcr2","Snx10","Gpx1","Ncf4"
"149","Mrpl33","Cers6","Lamp2","Ctsd","Tspo","Nipbl","S100a11","Rpl15","Serf2"
"150","Cmah","Kctd12","Rbpj","Trem1","Dusp1","Rapgef6","Rabgef1","Cotl1","Ube2h"
"151","Ifitm1","Pbx1","Egr1","Rpl41","Gapdh","Sirpb1a","Tpd52","Asprv1","March7"
"152","Rpl9","Wfdc17","Nfil3","Eno1","Rbm39","Klf6","mt-Co2","Uba52","Cd44"
"153","Rhoa","Coq10b","App","Serf2","Btg2","Pnpla7","Rbm39","Map1lc3b","Rplp2"
"154","Ctsd","Ube2h","March7","Prr13","Pde7b","Ptpn12","Ptprc","Tma7","Tnfaip2"
"155","Mxd1","Mapkapk2","Sik3","Chil1","Rbms1","Stk38","Tyrobp","Sec61b","Tspo"
"156","Ldha","Chst11","Gla","Emb","Sub1","Tsc22d3","Iqgap1","Laptm5","Atf3"
"157","Gnb2","Rap1b","mt-Atp6","Rps24","Ier3","Xpr1","Jund","Tmem59","Gnai2"
"158","Pnkp","Lilrb4a","Ankrd12","Rps10","Arpc5","Kpna4","Ddx6","Rpl14","Taldo1"
"159","Padi4","Dock2","Eif5","Ube2h","Clic1","Rab8b","Fcer1g","Hebp1","Pfdn5"
"160","Syne1","Tsc22d3","Slc16a3","Atg3","Gda","Ankrd11","mt-Co3","Ndufb9","Ncf2"
"161","Cybb","Pnrc1","Rsrc2","Cyp4f18","Fam134b","Foxp1","Actr3","AF251705","Ctsd"
"162","Spi1","Ppp3ca","Arg2","Hcst","Mrpl33","Slpi","Fndc3b","Nedd8","Rps13"
"163","Anxa3","Ssh2","Btg2","R3hdm4","Btbd9","Acap2","Osbpl9","Ppib","Lyn"
"164","Aldoa","Braf","Isg15","Ldha","Lrrfip1","Sfxn5","Zfand3","Calm1","Rpl38"
"165","Arhgap15","March7","Picalm","Gng5","Rab7","Slc40a1","Hp","Clic1","Ier5"
"166","Rap1b","Ncf2","Egln3","Sorl1","Tiparp","Trp53inp1","Lilr4b","Fcer1g","Ndel1"
"167","Rpl39","Azin1","Klf6","App","Anxa1","Crebrf","Csrnp1","Vdac2","Lcp1"
"168","Myh9","Akap13","Pfkl","Dennd4a","Gabarap","Gtdc1","Adgre5","Runx1","Rpl34"
"169","Cdkn2d","Hdc","Dedd2","Glipr2","Rab20","Atp8a1","Arcn1","Uqcrh","Tspan13"
"170","Dhrs7","Bcl6","Zeb2","Samhd1","Cdc42","Arih1","Syk","Arf1","Arpc1b"
"171","Rps19","Sdcbp","Higd1a","Eef1a1","Fem1c","Junb","Rps27","Cox7a2l","Emb"
"172","Rps3","Qk","Gng5","Steap4","Pnrc1","Dhrs9","Chd2","H2afz","AF251705"
"173","Ncf2","Iqgap1","Tmbim6","Sub1","Sat1","Nt5c2","Sqstm1","Uqcr10","G0s2"
"174","Serpinb1a","Osbpl9","Stat3","Cotl1","Fam107b","Grina","Clk1","Rhoa","Slfn2"
"175","Fpr2","Lyst","Rbm39","Cdkn2d","Pik3ap1","Lamp2","Txnrd1","Ube2i","Egr1"
"176","Vsir","Rnd1","Ptp4a1","Rnf149","Rps29","Rap1b","Ncf4","Slc25a5","Dusp16"
"177","Rpl19","Ubn1","Cdc42","Shfm1","Slc7a11","Chst11","Rps29","Minos1","Trem1"
"178","Rpl34","Ier3","Chmp4b","Lyn","Hectd1","Pacs1","Saa3","Dhrs7","Clic1"
"179","Sat1","Ppp2r5a","Atf4","Arpc5","Ubb","Braf","Zc3h12a","Rps12","Rabac1"
"180","Gabarap","Ddx6","Ddit3","Plaur","March7","Retnlg","Slc15a3","Abracl","Fcgr3"
"181","Cd47","Tmcc1","Upp1","Actr3","Cd300lf","Vmp1","Cmip","Atp5b","Dazap2"
"182","Ube2d3","Cbx4","Stfa2l1","Calm1","Myl6","Kmt2e","Snx20","Pnpla2","Hist1h2bc"
"183","Rpl41","Hexim1","Fos","Smpdl3a","Jund","Antxr2","Tra2a","mt-Cytb","Rps12"
"184","mt-Cytb","Ptprc","Sh2d3c","Gm42418","Trem3","Asxl1","Ddx3x","Cd47","mt-Co3"
"185","Gpsm3","Sqstm1","Hsp90aa1","Emilin2","Prdx5","Dock11","Batf","Tmsb4x","Cxcr4"
"186","Hmgn2","mt-Co2","Hk2","AB124611","Pafah1b1","Mir142hg","Pfn1","Malat1","Pnrc1"
"187","Gsr","Bcl2l11","Ptbp3","Rpl18a","Lyst","Mcl1","Hck","Hnrnpk","Xylt1"
"188","Plp2","mt-Co3","Lmnb1","Dhrs7","Fbxl5","Mtmr3","Ifnar2","Ndufa7","Rps3a1"
"189","Mbd2","Zswim6","Tnfrsf23","Mir142hg","Braf","Zswim6","Chst11","Gm8730","Rplp1"
"190","Ier2","Ube2s","Ets2","Gpsm3","Cfl1","Pla2g7","mt-Atp6","Tyrobp","Klf13"
"191","Rps11","Oser1","Bhlhe40","Cap1","Ptbp3","Atp8b4","Nfkbid","Ubxn1","Ppp1r15a"
"192","Npepps","Klf10","Serinc3","Akap13","Slc22a15","Gm20388","Vasp","Cd300a","Ostf1"
"193","Junb","Wnk1","Alcam","C5ar1","Cyp4f18","Iqgap2","Arih2","Gmfg","Sub1"
"194","Unc119","Atp11b","Snap23","Rps12","Clk1","Lilrb4a","Lyn","Taldo1","Ssh2"
"195","Dach1","Celf2","Tlr4","Oaz1","Rps27","Arid4b","Cd9","Ndufa13","2810474O19Rik"
"196","Plac8","Phf21a","Bri3","Ube2d3","Glrx","Tbl1xr1","Msrb1","Rbm25","Coq10b"
"197","Ltb4r1","Svil","Slfn4","Cpd","Ankrd33b","Actr3","Txn1","Erp29","Fam49b"
"198","Atp6v1g1","Pim1","Cmip","Rhoa","Sh2d3c","Hdac4","Ctsz","Fxyd5","Rpl37a"
"199","G6pdx","Usp32","Zfp36l1","Fam49b","Ehd1","Btg1","Skap2","Tmem50a","Akap13"
"200","Ptprc","Arhgap24","Samhd1","Cst3","Kdm6b","Fry","Entpd1","Rpl27","Cap1"
