"","V1","V2","V3","V4","V5"
"Actr1b",0.861099313689456,0.460026490173554,1.19053040015535,1.48216317701103,0.448917325714612
"Tmem131",2.5047591314273,1.43651081102223,3.51726280128,9.05896397552821,4.60922226256179
"Cnga3",0.338318671638168,0.117049181075976,2.22044604925031e-16,0.167849548994556,1.60860702542643
"Inpp4a",2.25074998302567,4.22559952317549,2.99194777532169,7.23821502791568,7.98280673756236
"Coa5",0.304032555258561,0.745426058361651,1.93992853339671,0.800410956958183,1.60903238998496
"Unc50",0.358539177456812,1.89844163197864,4.91199044086367,1.93097137874467,2.35242507939605
"Mgat4a",2.54385811437358,4.65504165384253,1.72113964392736,2.45088932932557,0.494190800236905
"Tsga10",0.347899803633854,0.254455735522268,0.902709636415681,0.262343358924951,0.25474607351683
"Mitd1",1.46036790592959,0.0228878360726894,0.858016503588806,0.584993376366547,0.435053727088328
"Mrpl30",1.49946799219665,0.693081198860184,3.09904492037387,1.34425172851567,2.59131245586113
"Txndc9",1.40355096742821,2.15766623774123,2.9187026954991,0.206006610578871,3.0598584641039
"Eif5b",1.55932813243025,0.428420396966157,3.54075372697701,2.22044604925031e-16,2.25743007364314
"Rev1",1.17167507780675,0.247822193431297,1.17096782686764,8.52951228701829e-13,0.183655811089377
"Pdcl3",0.911483077724683,1.7197602536506,3.75085934734596,2.22044604925031e-16,5.5856659606011
"Rpl31",2.26513650147965,2.23746204643113,5.50979535786448,2.75748757850384,7.18928259868825
"Tbc1d8",2.21144595231723,3.52254124533901,2.23214814374882,0.315553876948617,10.2333630982974
"Cnot11",0.836472269524092,0.512621195364471,1.54710538053104,0.590447169813422,0.706175327026331
"Rnf149",20.5853916908707,37.5386525076515,24.6152995186014,42.2609355252614,4.73887625966994
"Map4k4",7.46900416584271,4.15043985337292,1.79119851581565,1.65400413023278,8.97921878522039
"Il1r2",34.2208404775201,44.5103926982602,29.822276354399,56.1886972383404,11.8161028847176
"Gm16894",0.0745489661688464,2.22044604925031e-16,1.97319581306642,2.45672279489542,0.0538301535320079
"Il18r1",0.549521666671712,0.393892475880963,0.974476347684656,0.899233376711759,1.41681260991849
"Il18rap",7.95106382133561,12.5687718634141,13.3250724340309,25.2051591214699,4.96674468836771
"Mrps9",0.0201144345261905,0.119769698429601,0.616026610625221,0.21693742257168,1.02801614817147
"Tgfbrap1",0.133648762635315,0.075566895905565,1.08750313712295,0.192675872022254,0.16228776871779
"Uxs1",2.22044604925031e-16,2.22044604925031e-16,1.4456278577097,1.09229977527054,0.867497589623999
"Tpp2",2.381298397693,1.25593022629195,5.17724270755514,4.33675451255068,1.98078049728258
"Tex30",0.354436597260262,0.379424443886647,1.75528977541565,6.82994071233393e-11,0.208474317908728
"Ercc5",0.291447705066105,0.551856242370437,0.475285182418981,0.21020408218753,0.203633201586005
"Slc40a1",2.10988552221783,1.87421053567827,14.1195572578344,21.2839355221647,3.89625410840388
"Nabp1",4.5642679000305,9.53584345779268,7.20788001895094,7.72315703265708,7.77358833465853
"Stat4",2.22044604925031e-16,1.13187186457223,0.749882128253566,2.22044604925031e-16,0.0356660372695184
"Stat1",7.12247460512498,1.59571726568249,2.81877366971826,6.06916488262788,1.07752363994684
"Gls",11.4479105257657,7.10060786835306,21.2177163969497,13.5383391875624,1.50561201502958
"Nab1",8.01114775058072,12.9305420363859,2.95693905602413,9.27564663756135e-05,3.73786405161482
"Tmem194b",2.22044604925031e-16,0.315913746466143,1.33363786455356,0.987284827285159,0.0857180832620611
"Mfsd6",1.33930077409147,1.36899315646416,6.99288689960817,5.94392709117504,4.43768466380928
"Inpp1",1.09844389524142,1.31885128177783,0.467000600365075,1.28321101694862,2.6077595051365
"Hibch",2.22044604925031e-16,0.0319527473396473,0.662917460577445,0.408762355283767,1.55679412468979
"Ormdl1",0.884998026980032,0.29950085662615,0.662950287000622,0.469840133647416,1.7200632276498
"Asnsd1",1.11534944385589,1.5191430626145,0.6893346919417,5.99415291880185,15.496037441399
"Stk17b",5.98795257418112,31.7996209810985,33.5423656571071,52.2050355363614,11.3833824241384
"Hecw2",2.22044604925031e-16,0.0735426326990579,1.27037728665275,0.358609151586746,0.028378295980678
"Ankrd44",5.42078455697353,7.48063418970894,19.7857983798525,21.0752320392591,6.03425069148519
"4930444A19Rik",0.0168885436293001,0.92497509667964,1.48002754768386,0.873236920993039,0.363579089246074
"Sf3b1",13.1207058385834,17.509510204752,17.5110275470293,19.6996463312203,7.46173931017029
"Coq10b",7.65706013637907,21.8266024278379,18.1124098369799,15.6722448174407,4.14146117426846e-08
"Hspd1",0.31211264692813,2.22044604925031e-16,2.12348036803841,2.22044604925031e-16,0.584002724950224
"Mob4",4.11566116297215,11.0202253713025,9.13380405677008,5.88732715243589,4.51906073050649
"9430016H08Rik",0.146637541741638,2.22044604925031e-16,0.942997532473988,1.87132608975781e-08,0.528749408761058
