"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"Phf3",2.01169667058637,0.953920145037233,3.16694581122047,2.32024169753401,8.10311994268738,4.61547915673555,3.16362518607338,2.10640045162345,2.22044604925031e-16
"Ptp4a1",24.1086537604239,19.5694758721763,11.4578903875538,4.93918722231562,1.65875300522989,17.1163440635685,24.7815558862145,23.9842519327903,19.817495141144
"Prim2",2.22044604925031e-16,0.800731274425505,2.22044604925031e-16,0.960477585333167,2.22044604925031e-16,2.22044604925031e-16,0.671319819674849,2.22044604925031e-16,2.22044604925031e-16
"Zfp451",2.22044604925031e-16,0.579103320874672,2.22044604925031e-16,1.14272286459136,0.538631118129875,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Ccdc115",2.22044604925031e-16,1.99776507821224,2.22044604925031e-16,0.273157026747851,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.399201787277801
"Imp4",3.69258772652359,0.956684467209946,2.22044604925031e-16,0.383326583829202,2.22044604925031e-16,2.22044604925031e-16,0.669891625549021,0.88692022732517,2.22044604925031e-16
"Ptpn18",7.21943934293919,4.30021109774116,4.66954609659769,2.22044604925031e-16,7.84886583793112,2.22044604925031e-16,8.66078054909394,5.21860825051558,13.6936157767012
"Fam168b",5.34778531991371,0.0148418838839926,5.81138943085211,3.09873293252378,3.39255232127438,1.05514625177635,6.69787161698341,2.34373683594573,8.23778532170248
"Plekhb2",2.21286606704294,1.56136864634753,2.22044604925031e-16,0.680650273860293,1.42418661308046,2.22044604925031e-16,0.863853381257473,2.14801149653476e-06,1.45448292786095
"Neurl3",18.2632163367551,15.2063899893684,15.5702098382919,4.46381812755882,16.4760279108247,22.7510184348792,41.4298780115853,4.82521977285433,10.3737164421469
"Arid5a",5.56429839406961,6.39640261498302,2.791740234276,2.77158029052993,6.95978307034464,2.85642271787615,1.27695530596959,7.56095865443858,6.35288803644898
"4930403P22Rik",0.514428030309993,2.22044604925031e-16,0.93439840063594,2.22044604925031e-16,2.22044604925031e-16,0.302031531865995,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Kansl3",2.22044604925031e-16,0.3875448981726,2.36676754634262,1.36654880151478,0.312468227930411,3.03627574667538,2.22044604925031e-16,2.07147152433396,1.54730594322032
"Lman2l",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.463482362075944,0.77636540202614,1.21139157359876,2.22044604925031e-16,2.05631065336515,2.22044604925031e-16
