"","V1","V2","V3","V4","V5","V6","V7","V8"
"Prex2",2.22044604925031e-16,0.440240829805178,1.1866739588247,0.570575244967659,2.22044604925031e-16,0.706065671321059,2.22044604925031e-16,2.22044604925031e-16
"Ncoa2",5.88419623196037,2.1124812345008,3.00283285421625,10.3982588760105,2.83904304725943,2.22044604925031e-16,4.61678216574036,3.81100056645921
"Gm29570",1.17982592261017,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.53430561531418
"Tram1",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.550920376224857,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Lactb2",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.55820087108345,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.462519722396519
"Kcnb2",0.418099275074161,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Terf1",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.550920376224857,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Sbspon",2.22044604925031e-16,0.379176719120758,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"4930444P10Rik",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.625232825089701,2.22044604925031e-16,2.22044604925031e-16,7.32949735146911e-12
"Rpl7",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.57202500848248,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Rdh10",0.778043945323551,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Ube2w",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.59225678596593,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Tceb1",2.8651194016576,9.6316595273262,2.22044604925031e-16,2.22044604925031e-16,7.87914673013647,4.16074081494411,12.9708740420553,2.22044604925031e-16
"Tmem70",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.700491348684224,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Ly96",2.67542073200329,3.21893973624554,4.11123251106301,2.22044604925031e-16,0.863621402104783,0.563101531630688,4.20725503822025,4.28855773040097
"Tram2",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.803269038722785,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Ogfrl1",15.4982037489681,12.8001734568354,13.3361927144813,2.74931653101131,5.85341933244463,23.2477206548726,4.19426239454426,6.93350839114142
"B3gat2",2.22044604925031e-16,2.22044604925031e-16,0.677760387196433,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Smap1",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.48467813751973,0.775168267525268,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Lmbrd1",15.9281729614042,2.22044604925031e-16,14.8384144397801,3.50701614907389,0.977360308375295,2.22044604925031e-16,13.3102091174833,2.39453773166811
"Adgrb3",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0.422379345490104,2.22044604925031e-16
"Phf3",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.92056819408574,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Ptp4a1",17.6612789943826,21.3546428090335,18.2233487543494,3.40096505053469,23.6658336216364,39.1875925666657,25.7924223940916,13.7430630960923
"Zfp451",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.11757098550878,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Imp4",0.3164816999106,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16
"Ptpn18",2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,1.13197957111535,23.6779723884399,2.22044604925031e-16,0.914518151090991,0.852983841213088
"Fam168b",1.15129526647179,2.22044604925031e-16,1.89002698146773,3.8550476331829,0.813396951236801,2.22044604925031e-16,2.22044604925031e-16,1.68662464843878
