"","SC78_8_factor1","SC78_8_factor2","SC78_8_factor3","SC78_8_factor4"
"155","Ppp1r3b","Cst3","Stfa2l1","Ago2"
"156","Tspo","Cdk2ap2","Pla2g7","Egr1"
"157","Fam107b","Lsp1","Emilin2","Top1"
"158","Selk","Casp4","Cd9","Cd47"
"159","Kdm6b","Etf1","Selplg","Ltb"
"160","Notch2","Sik3","Ostf1","Sorl1"
"161","Map1lc3b","Gmfg","Rpl37","Srgn"
"162","Rab20","Steap4","Pbx1","Rpl26"
"163","Arih2","Atp2b1","Plek","Junb"
"164","Nfkbiz","Gab2","Mrgpra2b","Rpl28"
"165","Gda","Gm5150","Ccr1","Son"
"166","Ubb","Ncf1","Stat3","Rapgef6"
"167","2810474O19Rik","Osbpl9","Ncf4","Rpl14"
"168","Tlr4","Ifitm3","Ndel1","Rps15a"
"169","Vps37b","Sat1","Cd300lf","Pitpna"
"170","Rdh12","Adgre5","Il1rap","Ppp3ca"
"171","Vps4b","Gcnt2","Cfl1","Fam49b"
"172","Jund","Ninj1","B2m","Hspa8"
"173","Diaph1","Rps29","Sell","Ddx5"
"174","Slc15a3","Suco","Celf2","Btg2"
"175","Slfn4","Ccl3","Glrx","Gadd45g"
"176","Slc11a1","Pla2g7","Serf2","Prkcb"
"177","Arpc5","Pde7b","Ssh2","Whsc1l1"
"178","Hmgb2","Fosl2","Pygl","Itch"
"179","Snap23","Hmgb2","Cd44","Pfn1"
"180","Zcchc6","Pbx1","Zfand5","Actb"
"181","Csf2rb","Iqgap1","Sh3bgrl3","Cnbp"
"182","Lst1","Cxcr4","Sdcbp","Eif5"
"183","Vmp1","Arpc1b","Antxr2","AF251705"
"184","Lyst","Taldo1","Slfn4","Fnip1"
"185","Agpat9","Tra2a","mt-Co1","Aff1"
"186","Myl6","Tiparp","Clec4d","Dyrk1a"
"187","Coro1a","Mir142hg","Sfxn5","Bri3"
"188","Rap1b","Rel","Cst3","Msn"
"189","Ptgs2","Fndc3b","Usp32","Dynll1"
"190","Cd300lf","Atf3","Gpsm3","Chd7"
"191","Sepn1","Ubc","Gng5","Calm1"
"192","Dhrs9","Csrnp1","Cotl1","Ptbp3"
"193","Cdc42","Stk17b","Arhgap24","Btf3"
"194","Sat1","Coro1a","Tgfbi","Hnrnpc"
"195","Tnfaip2","Arih2","Rps16","Pak2"
"196","Plin2","Slc15a3","Kdm7a","Diaph2"
"197","Trem3","Syk","Xylt1","H3f3a"
"198","Nlrp3","Map1lc3b","Cytip","Ptma"
"199","Cdk17","Oser1","Cd84","Zbtb20"
"200","Sntb2","Igf1r","Slfn2","Rps6"
"201","Cap1","Ctsb","Mir142hg","Xylt1"
"202","Rab8b","Il1rap","Ipcef1","Nrd1"
"203","Wfdc21","Trib1","Mgst1","Rps28"
"204","Dopey2","Rps16","Lgals3","Srsf7"
"205","Inpp5d","Atp6v1g1","Suco","Fos"
"206","Anxa11","Msn","Irg1","Hist1h2bc"
"207","Glrx","Tgoln1","Sh2d3c","Rabac1"
"208","Prdx5","Sdcbp","Zfp36l2","Cdk2ap2"
"209","Klra2","Cd53","Fgr","Pum2"
"210","Mbnl2","Jdp2","Atxn10","Rgs2"
"211","Arpc1b","March7","Gnb2","Fnbp1"
"212","Coq10b","Wnk1","Ube2d3","Gnas"
"213","Egr1","Calm2","Stx11","Baz1a"
"214","Tgoln1","Basp1","Adipor1","Srsf5"
"215","Slc2a1","Lyst","Klf6","Ncl"
"216","Arhgap15","Trem3","March7","Stag1"
"217","Zeb2","Sntb2","Tspan13","Gng5"
"218","Sell","Cfl1","Syk","Dgkd"
"219","Skap2","Myl12b","Igf1r","Slc38a2"
"220","Ccl6","Tspan13","Samhd1","Pbx1"
"221","mt-Co3","Malt1","Nfkbiz","Eef2"
"222","Rac2","Myl6","Rab8b","Aff4"
"223","Nudt4","Rbm39","BC100530","Dip2b"
"224","Lsp1","Lpcat2","Ccnd3","Stat3"
"225","Mcemp1","Arpc2","Phf21a","Nptn"
"226","Ptbp3","Cyba","Rps29","H2-D1"
"227","Cdkn1a","Cdc42","Ltb","Pdlim5"
"228","Dusp5","Gm43661","Msra","Brk1"
"229","Cyba","Rps27a","Pilra","Rhob"
"230","Sp100","Plaur","Notch2","Itsn2"
"231","Pla2g7","Fbxo11","Tsc22d3","Kmt2c"
