"","SC78_4_factor1","SC78_4_factor2","SC78_4_factor3","SC78_4_factor4","SC78_4_factor5"
"260","Atp6v1f","Map1lc3b","Jmjd1c","Nfkbie","Eml1"
"261","Dynll1","Eif4a1","Anxa1","Lpcat2","Klhl2"
"262","Riok3","Coro1a","Gnaq","Trps1","Ptbp3"
"263","Rilpl2","Cotl1","Ube2h","Optn","Isg15"
"264","Stk10","Lamb3","Mtus1","Dusp5","Gch1"
"265","Psmb8","Aff4","Fam32a","Itgb2","Capza1"
"266","Sfpq","Cdc42","Ppp1r2","Jdp2","Ube2d3"
"267","Sf3b1","Ddit3","Atg3","Map2k3","Pxn"
"268","Ctsd","Zcchc2","Arhgap26","Tank","Ier5"
"269","Diaph2","Fmnl1","Whsc1l1","Igf1r","Hif1a"
"270","Btf3","Itgal","Ube2b","Ubc","Dazap2"
"271","Mob1a","Eml1","Xpr1","Fmnl1","Cytip"
"272","Neat1","Hif1a","Serf2","Hp","Sema4d"
"273","Sik3","Sell","Raf1","Ifi27l2a","Agpat9"
"274","Wapl","Itpkb","Arpc3","Rps27a","Tspan13"
"275","Rel","Abtb2","Cd53","Sp140","Nudt4"
"276","Myl6","Rbks","Zswim6","Arpc5","Dusp16"
"277","Lfng","Sgpl1","Pilra","Ppp1r2","Tlr2"
"278","Shisa5","Tmbim6","Clk1","Rbms1","Mapkapk2"
"279","Ccnl1","AW011738","Abtb2","Cfl1","Braf"
"280","Maml3","Vamp4","Rbm39","Serinc3","Rhoa"
"281","Lilrb4a","Gmfg","Cd300lf","Sqstm1","Fbxo11"
"282","Nab1","Sat1","Ogt","Fas","Ptgs2"
"283","Clec4e","Ube2d3","Gng5","Ctsb","Jdp2"
"284","Smyd3","Kctd12","Nudt4","Myl6","Il1rap"
"285","Arf5","Fos","Zfand5","Themis2","Tnrc18"
"286","Rhoa","Atf3","Herc4","Rilpl2","Themis2"
"287","Vamp4","Dgat1","Trps1","Hectd1","Rpl9"
"288","Tpm3-rs7","Atg2a","Ctnnb1","Tpm4","Rpl37"
"289","Alox5ap","Slc25a3","Cdk2ap2","Lamb3","Inpp5d"
"290","Fgl2","Ppp1r15a","Tnrc6b","Myl12b","Arpc4"
"291","Pabpc1","Trem3","Nup98","App","Oaz1"
"292","Lrrfip1","Il15","Tmem164","Bcl2a1a","Itgal"
"293","Ehd1","Marcks","Mirt1","Inpp5d","B2m"
"294","Hsp90ab1","Notch2","Rps16","Gnai2","Egr1"
"295","Gpbp1","Arpc5","Ypel3","Il1f9","Rab20"
"296","Ubc","Itm2b","Cotl1","Cyp4f18","Arf5"
"297","Fus","D8Ertd738e","Cd24a","Arhgap26","Cdk17"
"298","Rpl6","Per1","Ptafr","Cd300lf","Kras"
"299","Cox7a2","Myh9","Cyp4f18","Syk","Capzb"
"300","Ifi27l2a","Rbms1","Laptm5","Mbnl2","Fam65b"
